,Stn,Datum,Tijd,P,qP,T,qT
311,81,19270414,19.45,754.6,0,26,0
312,81,19270415,7.45,755.2,0,25,0
313,81,19270415,13.45,754.3,0,28,0
314,81,19270415,19.45,754.6,0,26,0
315,81,19270416,7.45,753.7,0,25,0
316,81,19270416,13.45,753.1,0,30,0
317,81,19270416,19.45,753.3,0,28,0
318,81,19270417,7.45,754.2,0,25,0
319,81,19270417,13.45,753.3,0,28,0
320,81,19270417,19.45,753.6,0,26,0
321,81,19270418,7.45,753.1,0,26,0
322,81,19270418,13.45,752.7,0,29,0
323,81,19270418,19.45,752.5,0,27,0
324,81,19270419,7.45,752.8,0,24,0
325,81,19270419,13.45,752.7,0,25,0
326,81,19270419,19.45,752.7,0,25,0
327,81,19270420,7.45,753.7,0,25,0
328,81,19270420,13.45,753.0,0,27,0
329,81,19270420,19.45,753.6,0,26,0
330,81,19270421,7.45,754.2,0,25,0
331,81,19270421,13.45,753.7,0,29,0
332,81,19270421,19.45,753.3,0,28,0
333,81,19270422,7.45,754.2,0,25,0
334,81,19270422,13.45,754.1,0,26,0
335,81,19270422,19.45,754.1,0,26,0
336,81,19270423,7.45,754.3,0,24,0
337,81,19270423,13.45,752.5,0,27,0
338,81,19270423,19.45,752.6,0,26,0
339,81,19270424,7.45,753.7,0,25,0
340,81,19270424,13.45,753.8,0,28,0
341,81,19270424,19.45,754.1,0,26,0
342,81,19270425,7.45,754.7,0,25,0
343,81,19270425,13.45,754.2,0,29,0
344,81,19270425,19.45,754.6,0,26,0
345,81,19270426,7.45,754.7,0,25,0
346,81,19270426,13.45,754.1,0,30,0
347,81,19270426,19.45,754.3,0,28,0
348,81,19270427,7.45,755.1,0,26,0
349,81,19270427,13.45,753.6,0,30,0
350,81,19270427,19.45,754.3,0,28,0
351,81,19270428,7.45,754.5,0,27,0
352,81,19270428,13.45,754.5,0,31,0
353,81,19270428,19.45,754.3,0,28,0
354,81,19270429,7.45,755.0,0,27,0
355,81,19270429,13.45,754.2,0,29,0
356,81,19270429,19.45,754.3,0,28,0
357,81,19270430,7.45,755.5,0,27,0
358,81,19270430,13.45,755.0,0,31,0
359,81,19270430,19.45,755.3,0,28,0
360,81,19270501,7.45,755.5,0,27,0
361,81,19270501,13.45,755.1,0,30,0
362,81,19270501,19.45,755.3,0,28,0
363,81,19270502,7.45,756.0,0,27,0
364,81,19270502,13.45,755.1,0,30,0
365,81,19270502,19.45,755.3,0,28,0
366,81,19270503,7.45,756.5,0,27,0
367,81,19270503,13.45,756.0,0,31,0
368,81,19270503,19.45,756.3,0,28,0
369,81,19270504,7.45,756.5,0,27,0
370,81,19270504,13.45,756.0,0,31,0
371,81,19270504,19.45,756.3,0,28,0
372,81,19270505,7.45,756.5,0,27,0
373,81,19270505,13.45,755.7,0,29,0
374,81,19270505,19.45,755.5,0,27,0
375,81,19270506,7.45,755.6,0,26,0
376,81,19270506,13.45,754.6,0,30,0
377,81,19270506,19.45,754.8,0,28,0
378,81,19270507,7.45,755.1,0,26,0
379,81,19270507,13.45,754.0,0,31,0
380,81,19270507,19.45,754.3,0,28,0
381,81,19270508,7.45,754.5,0,27,0
382,81,19270508,13.45,754.1,0,30,0
383,81,19270508,19.45,754.3,0,28,0
384,81,19270509,7.45,755.5,0,27,0
385,81,19270509,13.45,754.6,0,30,0
386,81,19270509,19.45,755.3,0,28,0
387,81,19270510,7.45,756.5,0,27,0
388,81,19270510,13.45,756.1,0,30,0
389,81,19270510,19.45,756.3,0,28,0
390,81,19270511,7.45,757.0,0,27,0
391,81,19270511,13.45,756.6,0,30,0
392,81,19270511,19.45,755.8,0,28,0
393,81,19270512,7.45,756.5,0,27,0
394,81,19270512,13.45,756.6,0,30,0
395,81,19270512,19.45,755.8,0,28,0
396,81,19270513,7.45,757.6,0,26,0
397,81,19270513,13.45,756.6,0,30,0
398,81,19270513,19.45,755.8,0,28,0
399,81,19270514,7.45,756.5,0,27,0
400,81,19270514,13.45,756.1,0,30,0
401,81,19270514,19.45,756.3,0,28,0
402,81,19270515,7.45,756.1,0,26,0
403,81,19270515,13.45,755.5,0,31,0
404,81,19270515,19.45,755.3,0,28,0
405,81,19270516,7.45,755.5,0,27,0
406,81,19270516,13.45,755.0,0,31,0
407,81,19270516,19.45,755.2,0,29,0
408,81,19270517,7.45,755.5,0,27,0
409,81,19270517,13.45,756.0,0,31,0
410,81,19270517,19.45,756.2,0,29,0
411,81,19270518,7.45,756.6,0,26,0
412,81,19270518,13.45,756.0,0,31,0
413,81,19270518,19.45,755.8,0,28,0
414,81,19270519,7.45,756.0,0,27,0
415,81,19270519,13.45,755.6,0,30,0
416,81,19270519,19.45,755.3,0,28,0
417,81,19270520,7.45,755.5,0,27,0
418,81,19270520,13.45,755.6,0,30,0
419,81,19270520,19.45,755.8,0,28,0
420,81,19270521,7.45,756.1,0,26,0
421,81,19270521,13.45,755.2,0,29,0
422,81,19270521,19.45,755.5,0,27,0
423,81,19270522,7.45,755.6,0,26,0
424,81,19270522,13.45,755.2,0,29,0
425,81,19270522,19.45,755.5,0,27,0
426,81,19270523,7.45,755.2,0,25,0
427,81,19270523,13.45,754.6,0,26,0
428,81,19270523,19.45,754.6,0,26,0
429,81,19270524,7.45,754.7,0,25,0
430,81,19270524,13.45,754.8,0,28,0
431,81,19270524,19.45,755.1,0,26,0
432,81,19270525,7.45,755.1,0,26,0
433,81,19270525,13.45,755.2,0,29,0
434,81,19270525,19.45,755.0,0,27,0
435,81,19270526,7.45,755.1,0,26,0
436,81,19270526,13.45,755.1,0,30,0
437,81,19270526,19.45,755.3,0,28,0
438,81,19270527,7.45,755.1,0,26,0
439,81,19270527,13.45,754.2,0,29,0
440,81,19270527,19.45,755.5,0,27,0
441,81,19270528,7.45,755.6,0,26,0
442,81,19270528,13.45,755.1,0,30,0
443,81,19270528,19.45,755.3,0,28,0
444,81,19270529,7.45,755.6,0,26,0
445,81,19270529,13.45,756.2,0,29,0
446,81,19270529,19.45,756.5,0,27,0
447,81,19270530,7.45,757.0,0,27,0
448,81,19270530,13.45,756.1,0,30,0
449,81,19270530,19.45,756.3,0,28,0
450,81,19270531,7.45,756.5,0,27,0
451,81,19270531,13.45,756.1,0,30,0
452,81,19270531,19.45,756.3,0,28,0
453,81,19270601,7.45,755.5,0,27,0
454,81,19270601,13.45,754.1,0,30,0
455,81,19270601,19.45,754.3,0,28,0
456,81,19270602,7.45,755.5,0,27,0
457,81,19270602,13.45,755.0,0,31,0
458,81,19270602,19.45,755.2,0,29,0
459,81,19270603,7.45,756.0,0,27,0
460,81,19270603,13.45,755.1,0,30,0
461,81,19270603,19.45,755.3,0,28,0
462,81,19270604,7.45,755.5,0,27,0
463,81,19270604,13.45,755.1,0,30,0
464,81,19270604,19.45,756.3,0,28,0
465,81,19270605,7.45,756.5,0,27,0
466,81,19270605,13.45,756.1,0,30,0
467,81,19270605,19.45,756.3,0,28,0
468,81,19270606,7.45,756.0,0,27,0
469,81,19270606,13.45,756.1,0,30,0
470,81,19270606,19.45,756.3,0,28,0
471,81,19270607,7.45,757.0,0,27,0
472,81,19270607,13.45,755.8,0,28,0
473,81,19270607,19.45,756.5,0,27,0
474,81,19270608,7.45,757.5,0,27,0
475,81,19270608,13.45,757.1,0,30,0
476,81,19270608,19.45,757.3,0,28,0
477,81,19270609,7.45,758.0,0,27,0
478,81,19270609,13.45,757.3,0,28,0
479,81,19270609,19.45,756.5,0,27,0
480,81,19270610,7.45,756.1,0,26,0
481,81,19270610,13.45,755.3,0,28,0
482,81,19270610,19.45,755.5,0,27,0
483,81,19270611,7.45,756.1,0,26,0
484,81,19270611,13.45,755.3,0,28,0
485,81,19270611,19.45,755.5,0,27,0
486,81,19270612,7.45,756.1,0,26,0
487,81,19270612,13.45,756.6,0,30,0
488,81,19270612,19.45,757.3,0,28,0
489,81,19270613,7.45,757.5,0,27,0
490,81,19270613,13.45,757.1,0,30,0
491,81,19270613,19.45,757.3,0,28,0
492,81,19270614,7.45,757.5,0,27,0
493,81,19270614,13.45,756.8,0,28,0
494,81,19270614,19.45,756.3,0,28,0
495,81,19270615,7.45,756.5,0,27,0
496,81,19270615,13.45,755.1,0,30,0
497,81,19270615,19.45,756.3,0,28,0
498,81,19270616,7.45,756.5,0,27,0
499,81,19270616,13.45,756.2,0,29,0
500,81,19270616,19.45,756.5,0,27,0
501,81,19270617,7.45,756.5,0,27,0
502,81,19270617,13.45,755.7,0,29,0
503,81,19270617,19.45,756.5,0,27,0
504,81,19270618,7.45,757.5,0,27,0
505,81,19270618,13.45,756.6,0,30,0
506,81,19270618,19.45,756.3,0,28,0
507,81,19270619,7.45,756.5,0,27,0
508,81,19270619,13.45,756.2,0,29,0
509,81,19270619,19.45,756.0,0,27,0
510,81,19270620,7.45,755.5,0,27,0
511,81,19270620,13.45,755.2,0,29,0
512,81,19270620,19.45,756.5,0,27,0
513,81,19270621,7.45,756.5,0,27,0
514,81,19270621,13.45,756.1,0,30,0
