,Stn,Datum,Tijd,P,qP,Tn,qTn,Tx,qTx
267,81,19200330,8.0,750,0,—,7,—,7
268,81,19200330,14.0,748.9,0,—,7,—,7
269,81,19200330,24.0,—,7,24,0,27,0
270,81,19200331,8.0,749,0,—,7,—,7
271,81,19200331,14.0,748.9,0,—,7,—,7
272,81,19200331,24.0,—,7,23,0,27.8,0
273,81,19200401,8.0,749,0,—,7,—,7
274,81,19200401,14.0,748.3,0,—,7,—,7
275,81,19200401,24.0,—,7,24.3,0,27.5,0
276,81,19200402,8.0,749,0,—,7,—,7
277,81,19200402,14.0,748.5,0,—,7,—,7
278,81,19200402,24.0,—,7,24.5,0,28,0
279,81,19200403,8.0,749,0,—,7,—,7
280,81,19200403,14.0,748.6,0,—,7,—,7
281,81,19200403,24.0,—,7,24.5,0,28.5,0
282,81,19200404,8.0,749,0,—,7,—,7
283,81,19200404,14.0,748,0,—,7,—,7
284,81,19200404,24.0,—,7,24.3,0,28,0
285,81,19200405,8.0,748.7,0,—,7,—,7
286,81,19200405,14.0,748.2,0,—,7,—,7
287,81,19200405,24.0,—,7,24,0,28,0
288,81,19200406,8.0,749,0,—,7,—,7
289,81,19200406,14.0,748.7,0,—,7,—,7
290,81,19200406,24.0,—,7,24,0,28,0
291,81,19200407,8.0,748.3,0,—,7,—,7
292,81,19200407,14.0,748,0,—,7,—,7
293,81,19200407,24.0,—,7,25,0,28,0
294,81,19200408,8.0,748,0,—,7,—,7
295,81,19200408,14.0,747.7,0,—,7,—,7
296,81,19200408,24.0,—,7,25,0,28.5,0
297,81,19200409,8.0,747.5,0,—,7,—,7
298,81,19200409,14.0,747.3,0,—,7,—,7
299,81,19200409,24.0,—,7,25,0,27.5,0
300,81,19200410,8.0,748,0,—,7,—,7
301,81,19200410,14.0,747.7,0,—,7,—,7
302,81,19200410,24.0,—,7,25,0,27.3,0
303,81,19200411,8.0,748,0,—,7,—,7
304,81,19200411,14.0,747.5,0,—,7,—,7
305,81,19200411,24.0,—,7,25,0,27.5,0
306,81,19200412,8.0,748,0,—,7,—,7
307,81,19200412,14.0,747.5,0,—,7,—,7
308,81,19200412,24.0,—,7,25,0,28.5,0
309,81,19200413,8.0,748,0,—,7,—,7
310,81,19200413,14.0,747.5,0,—,7,—,7
311,81,19200413,24.0,—,7,27,0,28,0
312,81,19200414,8.0,748,0,—,7,—,7
313,81,19200414,14.0,747.7,0,—,7,—,7
314,81,19200414,24.0,—,7,26,0,28,0
315,81,19200415,8.0,748,0,—,7,—,7
316,81,19200415,14.0,747.5,0,—,7,—,7
317,81,19200415,24.0,—,7,25,0,28,0
318,81,19200416,8.0,748.5,0,—,7,—,7
319,81,19200416,14.0,748,0,—,7,—,7
320,81,19200416,24.0,—,7,27,0,30,0
321,81,19200417,8.0,747.6,0,—,7,—,7
322,81,19200417,14.0,747.1,0,—,7,—,7
323,81,19200417,24.0,—,7,26,0,29,0
324,81,19200418,8.0,747.4,0,—,7,—,7
325,81,19200418,14.0,747,0,—,7,—,7
326,81,19200418,24.0,—,7,26,0,29,0
327,81,19200419,8.0,747.3,0,—,7,—,7
328,81,19200419,14.0,747.1,0,—,7,—,7
329,81,19200419,24.0,—,7,26,0,30,0
330,81,19200420,8.0,748.7,0,—,7,—,7
331,81,19200420,14.0,748.4,0,—,7,—,7
332,81,19200420,24.0,—,7,26.8,0,28,0
333,81,19200421,8.0,750.5,0,—,7,—,7
334,81,19200421,14.0,750,0,—,7,—,7
335,81,19200421,24.0,—,7,26,0,29,0
336,81,19200422,8.0,749,0,—,7,—,7
337,81,19200422,14.0,748.8,0,—,7,—,7
338,81,19200422,24.0,—,7,26,0,27.5,0
339,81,19200423,8.0,749,0,—,7,—,7
340,81,19200423,14.0,748.5,0,—,7,—,7
341,81,19200423,24.0,—,7,25,0,27,0
342,81,19200424,8.0,749,0,—,7,—,7
343,81,19200424,14.0,748.5,0,—,7,—,7
344,81,19200424,24.0,—,7,25,0,28.5,0
345,81,19200425,8.0,749.2,0,—,7,—,7
346,81,19200425,14.0,748.1,0,—,7,—,7
347,81,19200425,24.0,—,7,26,0,29,0
348,81,19200426,8.0,749.5,0,—,7,—,7
349,81,19200426,14.0,748.1,0,—,7,—,7
350,81,19200426,24.0,—,7,26,0,29,0
351,81,19200427,8.0,749,0,—,7,—,7
352,81,19200427,14.0,748.6,0,—,7,—,7
353,81,19200427,24.0,—,7,27,0,29.5,0
354,81,19200428,8.0,749,0,—,7,—,7
355,81,19200428,14.0,748.5,0,—,7,—,7
356,81,19200428,24.0,—,7,26,0,28.8,0
357,81,19200429,8.0,750,0,—,7,—,7
358,81,19200429,14.0,749.3,0,—,7,—,7
359,81,19200429,24.0,—,7,25,0,28.5,0
360,81,19200430,8.0,750,0,—,7,—,7
361,81,19200430,14.0,749,0,—,7,—,7
362,81,19200430,24.0,—,7,26,0,28.5,0
363,81,19200501,8.0,748,0,—,7,—,7
364,81,19200501,14.0,747.6,0,—,7,—,7
365,81,19200501,24.0,—,7,26,0,27.5,0
366,81,19200502,8.0,747.5,0,—,7,—,7
367,81,19200502,14.0,747,0,—,7,—,7
368,81,19200502,24.0,—,7,26,0,27.5,0
369,81,19200503,8.0,747,0,—,7,—,7
370,81,19200503,14.0,746.7,0,—,7,—,7
371,81,19200503,24.0,—,7,26,0,27.8,0
372,81,19200504,8.0,748,0,—,7,—,7
373,81,19200504,14.0,747.5,0,—,7,—,7
374,81,19200504,24.0,—,7,25.3,0,28,0
375,81,19200505,8.0,749,0,—,7,—,7
376,81,19200505,14.0,748.6,0,—,7,—,7
377,81,19200505,24.0,—,7,27,0,28,0
378,81,19200506,8.0,748.5,0,—,7,—,7
379,81,19200506,14.0,748.1,0,—,7,—,7
380,81,19200506,24.0,—,7,26,0,28.3,0
381,81,19200507,8.0,749,0,—,7,—,7
382,81,19200507,14.0,748.6,0,—,7,—,7
383,81,19200507,24.0,—,7,26,0,28.5,0
384,81,19200508,8.0,749,0,—,7,—,7
385,81,19200508,14.0,748.3,0,—,7,—,7
386,81,19200508,24.0,—,7,26.3,0,28.5,0
387,81,19200509,8.0,749,0,—,7,—,7
388,81,19200509,14.0,748.6,0,—,7,—,7
389,81,19200509,24.0,—,7,26.5,0,28,0
390,81,19200510,8.0,749,0,—,7,—,7
391,81,19200510,14.0,748.5,0,—,7,—,7
392,81,19200510,24.0,—,7,26.5,0,28,0
393,81,19200511,8.0,749,0,—,7,—,7
394,81,19200511,14.0,748.1,0,—,7,—,7
395,81,19200511,24.0,—,7,25.5,0,28,0
396,81,19200512,8.0,749,0,—,7,—,7
397,81,19200512,14.0,747.5,0,—,7,—,7
398,81,19200512,24.0,—,7,25,0,28,0
399,81,19200513,8.0,748,0,—,7,—,7
400,81,19200513,14.0,747.2,0,—,7,—,7
401,81,19200513,24.0,—,7,25,0,27,0
402,81,19200514,8.0,747.5,0,—,7,—,7
403,81,19200514,14.0,747,0,—,7,—,7
404,81,19200514,24.0,—,7,25,0,27.3,0
405,81,19200515,8.0,747.5,0,—,7,—,7
406,81,19200515,14.0,747,0,—,7,—,7
407,81,19200515,24.0,—,7,25,0,28,0
408,81,19200516,8.0,747.5,0,—,7,—,7
409,81,19200516,14.0,747,0,—,7,—,7
410,81,19200516,24.0,—,7,25.5,0,28,0
411,81,19200517,8.0,747,0,—,7,—,7
412,81,19200517,14.0,746.9,0,—,7,—,7
413,81,19200517,24.0,—,7,25.8,0,28,0
414,81,19200518,8.0,747,0,—,7,—,7
415,81,19200518,14.0,746.5,0,—,7,—,7
416,81,19200518,24.0,—,7,25,0,28,0
417,81,19200519,8.0,747,0,—,7,—,7
418,81,19200519,14.0,746.8,0,—,7,—,7
419,81,19200519,24.0,—,7,26,0,27.3,0
420,81,19200520,8.0,747,0,—,7,—,7
421,81,19200520,14.0,746.8,0,—,7,—,7
422,81,19200520,24.0,—,7,25.3,0,27.8,0
423,81,19200521,8.0,747,0,—,7,—,7
424,81,19200521,14.0,746.7,0,—,7,—,7
425,81,19200521,24.0,—,7,27,0,28,0
426,81,19200522,8.0,746.4,0,—,7,—,7
427,81,19200522,14.0,746,0,—,7,—,7
428,81,19200522,24.0,—,7,26,0,28.3,0
429,81,19200523,8.0,746.4,0,—,7,—,7
430,81,19200523,14.0,746,0,—,7,—,7
431,81,19200523,24.0,—,7,26,0,28,0
432,81,19200524,8.0,746.3,0,—,7,—,7
433,81,19200524,14.0,745,0,—,7,—,7
434,81,19200524,24.0,—,7,26,0,26,0
435,81,19200525,8.0,745,0,—,7,—,7
436,81,19200525,14.0,744,0,—,7,—,7
437,81,19200525,24.0,—,7,24,0,26.5,0
438,81,19200526,8.0,745,0,—,7,—,7
439,81,19200526,14.0,744.8,0,—,7,—,7
440,81,19200526,24.0,—,7,25.5,0,27,0
441,81,19200527,8.0,747,0,—,7,—,7
442,81,19200527,14.0,746,0,—,7,—,7
443,81,19200527,24.0,—,7,26.5,0,27,0
444,81,19200528,8.0,746.8,0,—,7,—,7
445,81,19200528,14.0,746.5,0,—,7,—,7
446,81,19200528,24.0,—,7,26.3,0,28,0
447,81,19200529,8.0,747,0,—,7,—,7
448,81,19200529,14.0,746,0,—,7,—,7
449,81,19200529,24.0,—,7,26,0,28.5,0
450,81,19200530,8.0,747,0,—,7,—,7
451,81,19200530,14.0,746,0,—,7,—,7
452,81,19200530,24.0,—,7,26,0,28,0
453,81,19200531,8.0,747,0,—,7,—,7
454,81,19200531,14.0,746.5,0,—,7,—,7
455,81,19200531,24.0,—,7,26.3,0,29,0
456,81,19200601,8.0,748,0,—,7,—,7
457,81,19200601,14.0,747.5,0,—,7,—,7
458,81,19200601,24.0,—,7,27,0,29,0
459,81,19200602,8.0,748,0,—,7,—,7
460,81,19200602,14.0,747.8,0,—,7,—,7
461,81,19200602,24.0,—,7,27,0,29,0
462,81,19200603,8.0,748.3,0,—,7,—,7
463,81,19200603,14.0,748,0,—,7,—,7
464,81,19200603,24.0,—,7,26.5,0,29.5,0
465,81,19200604,8.0,748,0,—,7,—,7
466,81,19200604,14.0,747.8,0,—,7,—,7
467,81,19200604,24.0,—,7,26.5,0,28.8,0
468,81,19200605,8.0,748.5,0,—,7,—,7
469,81,19200605,14.0,748.2,0,—,7,—,7
470,81,19200605,24.0,—,7,26,0,29,0
471,81,19200606,8.0,748.4,0,—,7,—,7
472,81,19200606,14.0,748.2,0,—,7,—,7
473,81,19200606,24.0,—,7,26,0,29,0
474,81,19200607,8.0,748.2,0,—,7,—,7
475,81,19200607,14.0,748,0,—,7,—,7
476,81,19200607,24.0,—,7,27,0,30,0
477,81,19200608,8.0,748,0,—,7,—,7
478,81,19200608,14.0,747.6,0,—,7,—,7
479,81,19200608,24.0,—,7,26,0,27,0
480,81,19200609,8.0,748,0,—,7,—,7
481,81,19200609,14.0,747.5,0,—,7,—,7
482,81,19200609,24.0,—,7,26,0,29,0
483,81,19200610,8.0,748.5,0,—,7,—,7
484,81,19200610,14.0,748,0,—,7,—,7
485,81,19200610,24.0,—,7,26,0,29,0
486,81,19200611,8.0,749,0,—,7,—,7
487,81,19200611,14.0,748.7,0,—,7,—,7
488,81,19200611,24.0,—,7,27,0,30,0
489,81,19200612,8.0,748.5,0,—,7,—,7
490,81,19200612,14.0,748.2,0,—,7,—,7
491,81,19200612,24.0,—,7,27,0,29.5,0
492,81,19200613,8.0,748.5,0,—,7,—,7
493,81,19200613,14.0,748.3,0,—,7,—,7
494,81,19200613,24.0,—,7,27,0,29.5,0
495,81,19200614,8.0,748.7,0,—,7,—,7
496,81,19200614,14.0,748.5,0,—,7,—,7
497,81,19200614,24.0,—,7,27,0,29.5,0
498,81,19200615,8.0,748.5,0,—,7,—,7
499,81,19200615,14.0,748,0,—,7,—,7
500,81,19200615,24.0,—,7,26,0,29,0
501,81,19200616,8.0,748.6,0,—,7,—,7
502,81,19200616,14.0,748,0,—,7,—,7
503,81,19200616,24.0,—,7,27,0,29.3,0
504,81,19200617,8.0,748.6,0,—,7,—,7
505,81,19200617,14.0,748.5,0,—,7,—,7
506,81,19200617,24.0,—,7,26,0,29.3,0
507,81,19200618,8.0,748.9,0,—,7,—,7
508,81,19200618,14.0,748.7,0,—,7,—,7
509,81,19200618,24.0,—,7,27,0,29,0
510,81,19200619,8.0,749,0,—,7,—,7
511,81,19200619,14.0,748.7,0,—,7,—,7
512,81,19200619,24.0,—,7,26.5,0,28,0
513,81,19200620,8.0,749,0,—,7,—,7
514,81,19200620,14.0,748.5,0,—,7,—,7
515,81,19200620,24.0,—,7,26,0,28,0
516,81,19200621,8.0,749,0,—,7,—,7
517,81,19200621,14.0,748.5,0,—,7,—,7
518,81,19200621,24.0,—,7,26,0,28.5,0
519,81,19200622,8.0,749,0,—,7,—,7
520,81,19200622,14.0,748.7,0,—,7,—,7
521,81,19200622,24.0,—,7,26,0,28,0
522,81,19200623,8.0,749,0,—,7,—,7
523,81,19200623,14.0,748.6,0,—,7,—,7
524,81,19200623,24.0,—,7,26,0,28,0
525,81,19200624,8.0,749.2,0,—,7,—,7
526,81,19200624,14.0,748.9,0,—,7,—,7
527,81,19200624,24.0,—,7,25,0,28.8,0
