1786
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 FFFF FFFF SCCF CFFF CCRR CFRF FFFF RRRF FFCC FFFF FFFF RRFF
 2 FFFC CCRR FFFF CFFF CCFF FFFF CCRR FFFF CCFC FFFF FFFF FCFF
 3 SSSF RRFC FFCF CFFF FFFF FFCC FFFF FFFF FFFF FFFF FFFF FFFF
 4 FFCF FFFF FFCC FFCC FFFF RRRC FFFF FFCR FFFF CRRC FFFC FFFF
 5 FFFF FFCS FFFF CCCC FCRR CRFC FFFF FFCC FFFF FFFC CCCC CCFF
 6 RRRC RRRR FFFF CCFF CRFF FFFF FFFF RRCC CRFF FFFC RRRR CCCC
 7 FFFF FFFF FFCS FFFF FFFC FFFF FFFF CFFF FFFF FFFF FFFF FFFF
 8 FCRF FFFF FFFF FCRR CRSF FFCF FFFF CCFF FFFF FFFF FFFF FFFF
 9 FFFF FFCF CCFF FFFF FFFF CCFF FFFF CCCC FFFF FFFF FCFF CRCF
10 FFCC FFFF FFFF FFFF FFFF FFFF FFRF CCCF FFFF FCCC FCCF FFFF
11 CCCC FFFF FFFC CFFF FFCF FFCR FFFF FFRF FFFF CCFF FFFF FFFF
12 CFFC FFFC FFFF FFCF FFFF FFFF RRRR FFFF FFFF RCRC FCSC RCCF
13 RCCF FCCR CCCC FCCF RCFF CFCC CRRR FFFC FFFF RRCC FCRC RRRC
14 FFRR SCSS CCFF FFFC FFFF CCCC CCCC FCFF FFFF FFFF FCFC FFFC
15 FFFF CCFF CFFF CRRS FFCC CCFC RRRC FFFF FFCC RRRF CCCC FFFF
16 FFCF CCCC CFFC CHRR FFFF CRCC CCFF CCCC RCFF FFFC CCCR CCCC
17 FFFF RSFF RRRR SSRR FFFF CCRC CRRF CFFF FFFF RRCC RRRR FFFF
18 FFCF CCCC CFFF SFFF FFFF CCCC FFFF CCRF CFFF FFFF SCCF FFFF
19 FFFF FFFF FFFF FFFF FFFF CCCF FFFF FFFF FFFF CCCR FCFC FFFF
20 FFCF SSCC FFCR FFFF RRRF FFFF FFFF FFCC FCRC FFFF FFFF FFFF
21 SFCF FFFF FFCR FFFC FFFF FFFF CCCC CRCC CFFF FFFF CRRC FFFF
22 CFFF FFFF FFFF FFFF FFFF FFFF RRCC FFFF FFFF RCCF FFFF FFFF
23 FFFC CCCR CCSS FFFF FFFF FFFF RRCC FFFF FFFF FFFF FFFF CCRR
24 FFFF SSSS FFSF CCCC FFFF FFFF CRRR FFFF FFFF FFFF FCCF RCCC
25 FCSR SCCF FFFF CCCC FFFF CCFR RRCF FFFF FFFC FFCF FFCF SCRR
26 FFCF FFFF FFCR CFFF CFFF CFFF CRCR FFFF FCRR FFFF FFFF SSCC
27 SSFF FFFF FFFF CCCR FFFF RCRF RRRR FFFF FFFF CRRF FFFF CCCC
28 FFFF FFCR FFFF CRRR FFFF CCFF RRRR FFFF FFFF FFFF FFFF FFFC
29 FFFF **** FFFF CCCC FFFF FFFF CCCC FFFF FFFF CRRF FFCF CCFF
30 CSSR **** FFFF FFFF FFFC FFFF FRFF FFFF FFFF FRRC FFFC FCCC
31 CFFF **** CFFF **** RRRF **** FFFF FFFF **** CCCF **** CCFC 
1804
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 SRRR FFFF CSCC FFFF FCCF CFFF FFRR FFFF FFFF CCCC FFFF FFCC
 2 FFFF CCCF SSSS CCCF FFFS CRRR FFRR FFFF FFRF CFFF FFFF FSFF
 3 SSRR FFFF CFFF FFFF FFCF CCFF FFFF FFFC FFFF FFFF FFFF FFFC
 4 CCCC FFFF FFFF FFFF FFFF FCRF FFFF CRCF CFFF FFFF FFCC SCFF
 5 FFFF FFFF FFFF CFFF FFCC FFFF RFRF FFFC FFFF FFFC RCCF CCCC
 6 SFFC FFFF FFCC CCCR CRRC RFFF FFFF CFFF FFFF CCCC FFFF FFFF
 7 FFFF FCCC CCCS RCRR CCFF FFFF FFFR CCFF FFFF FRRF CCFF CSCC
 8 CSSS CCCS SRCF CFFF FFFF FFFF FFFF FFCR FFFF FFFF FFFC RCCF
 9 RRRR SFCS FFFF FFFF FFFF FFFF FFCF RCFF FFFF RRRR SSSR FCCS
10 FFFF FFFF FFFF FRRR CFFC CFFC CFFC CFFF CFFF CCRR RRCC FFFF
11 CSCS FFFF CCCC RRCC CCCC FFFF FFFF FFFF CRRR CFFF FFFF FCCC
12 CCFC CFFF CFFF CFFC FFFF FRRC CFFF FCCC RRRR FFFF FFSF CSSS
13 CCCC FFFF CCRR CFFF FFFF CFFF FFFF CCFF RRCF FFFF FFFF FFFF
14 SSRC SSCF FFFF FFFF FFFC FFFF FFFF FFFF FFFF FFFF FFCC FCCC
15 FFFF FFFF FFFF FFFC RCFF FFFF CRRC FFFF FFFF FCCR RRCR CSSS
16 FFFF CFFF FFFF RCFC RRCR FFFF CFFF FFFF FFFF FFFF FFFF RCFC
17 CRRR RSSS FFFF RRRR CCFF FFFF FCFF CFFF FFRR FCCR FCCF FFFF
18 SCFF FFFF FFCC FFFF FFFF FFRR FFFF FFFF RRRC RRRR FFCF FFCC
19 FFFC FFCC CFFF FFFF FFFF RRRC FRRR FFFF CRRR CCFF FFFF FFFF
20 CCFF CCSC CFFF FFFF FFFF CCCR CRCC FFFF RRRF FFFF FFFF CCCF
21 FFFF FFFF CCCF FFCC FFFR RCCR CFFF FFFF FFFF FFFF CCCC CCCC
22 FFFC FFFF CCCF RRCC FFRC RRRR CRRR CCCC FFFF RRCC CFFF CCCF
23 SSCC FSSS FFFF RRRR FFFF RCFF CFFF FFFF FFFF CCCC FFFF FCCC
24 CFFF SSSS CCCC RRRR CCFF CCCC FFFF FFFF FFFF CRRF FFFF SSSC
25 FFFF FFFF FFFF CCRC FFFF FFFF FFFF FFFF FFFC FFFF FFFF SFFF
26 FFFF FFFF FFFF CCRC FFRC CCFF FFFF CFRC RCFF CCCR FFFF FFFC
27 FFFF FFFF FFFF CCRC CRCF RRFR FFFF CCCC FFFF FFFF CFFF RRCF
28 CRRR CSSS FFFF FFCR FFCR FFFF FFFF CCFF FFFF FFFF FFFF FFFF
29 CFFF SFFF FFFF RCRR FFFF CRFF FFFF FFFF FFFF FFFF RCFF SSRC
30 CFCF **** CRRR FFFF FFFC CFCC FFFC CFFC FFCF FFFC CCCC SFFF
31 FFFF **** SSCF **** RCCC **** FRRC FFFF **** FFFF **** FFFF
1805
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 FFFC FSSF FFFF CCFF FFFC FFFF FFFF CCCC CCFF FCFC CCFF FFFF
 2 SFFF FFFF FFFF FFFF FFFF FFFF FFFF CCCC FFFF FCRR CFFF FFCC
 3 SSCC CSCS FFFF FFCR FFFF FFFF FFFF CCCC FFFF RFFC FFFF FFFF
 4 SFFF CFFF FFFF FFRR FFFF CCCC FFFF RCCC FFFF FFFF CFFF FFFC
 5 SSSC FFFF FFFF RCFF RCCF RCFC FFFF FFFF FFFF FFRC FFFF CFCR
 6 FFFF FFFF FFFC RRRC FFFF CCCC FFCC FFFF FFFF RCFF CCCC CCRR
 7 SSCC CSRR RFFC CCFF FFFF CCCC FFFF FFFF FFFF FFFF FFFF FFCC
 8 FFFF CCSC RCRF FFFF FCCC CRCR FCFR FFFF CCFF FFFC CCCC CCFF
 9 RRRF SCFF CRRC RRRR RRRC RRCC FFFC CCFF FFFF FFFF CCCC FFFF
10 CCSS FFCC CRRC CRCC FFFF CCCC FFFF RFFF FFFF FCRR RRFF FFFF
11 SCFF CFCC RRCF FRCF FRRR FCCC FFFF RFRF FFFF RRFF FCCF FFFF
12 FFFC RFFF CCCC FCCF CCCC FFFF FFFF FFFF CCRR FFFC FFFF CFCF
13 RCCF FFFC CCCF FFFF RFFF FFFF FFFF FRCF CRCC FCFF CCRR FFFC
14 FFFF RCRR FFFF FFFF FFFF FFFF CCCC FFFF RCRC FFFF RCRR CCRR
15 FFCF SFFF FFCC FFFF CRRR FFFF FFFF CCFF CRFF FFFF RRRR FFFC
16 CCCC FCCF CCCF FFFF RRRR FFFF FFFF RFFF FFFF CFRR FFCF SFFC
17 CCCC FFFF FFFF FFFF RRCF FFFF FFFF FFFF FFCC RFFF FFFF FFFF
18 CCRR FFFF CFFC FFFF FFFF FFFF FFFF FFFF FFFF FFCC FFFF FFFF
19 FSCC FFFC CCCC FFFF FFFF FFFC FFFF FFFC RFFF FFFF FFFF CCCF
20 FSSS FFFF CRCC CCCR FFCC FFFC RFFF FFFF FFFF FFCC CCCC RFFF
21 SSRR FFFF CRRC RRRR RCFF CCCC FFFF FFFF FFFF RFCR FFFF FFFF
22 FFFF FFFF FFFF CRCC FRFF RCCC FFFF FFFF FFFF RRRR FFFF FCCC
23 FSSC FFCR FFFF FFFF CFFF RCFF FFFF FFFF RRRC FFFF FFFF CFFF
24 CCFC FFCF FFFF CCRC FRCF CFFF RFFF CFFF FFFF RCRF CCSC SRRR
25 RRRR FFCR FCCF FFFF FFFF FFCR FFFC CFFC FFFC FFFC CFFF FFFF
26 FFFC SCCC CRRC CRRF FFFF FFFF CFRR CCCC FFFC RRRC FFFC FFFF
27 SSSS FFFF CCCC FFFF FFFF FFFC FFFF CCRC FCCC CCCF FFFC FFFF
28 SSSS CFFF CCFF FFFF FFFF FFFF FFFF RRCC CCCC FFFF FFFF CFCR
29 SSSF **** FFCC FRFC CFRC FFCC FFFF CCRR RRRR FFFF FFFF RCRF
30 CFFF **** CCRR CFFF FRCF FFRF FFFF FFFF CFCC FFFF FFFF FCRS
31 FFFC **** CRRR **** FFCF **** FFCC FFCC **** CCCC **** FFFF
1806
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 FFCC SSSF FFFF CFFC FFCC CRCR RRCC FFFC CFFR CCFF FFFF FFFF
 2 FFFC FFFF CFFF CFFF FFCC CFFF RFFF CRRR RRRR FFFF FFFF FFFF
 3 SCFF SSSF FFFF FFFF FFFF FFFF FFCC FFFF RRRC FFFF FFFF FCCS
 4 FFRC FFFF CCSS FFCC FFFC FFFF FFFF FFFF CFCC FFFF FFFF RCCF
 5 FFFF FFCF CSCC FFFF FFCF FFFF FFFF CRRC RCRR FFFF FFFF FFCC
 6 CCCC FFFF CFFF FFFF FFFR CCFC FFFF FFFF FFRR FFFF CCCR FFFF
 7 SRRC CCSS FCSS RCCR CCCC CCCC RCCF FFFF CCCC FFFF RRRR SSCF
 8 CCCC RRCF FFFF RRRC CCRR CFRF FFRF RCFF RCCF FFFF RFFF FFFF
 9 SSSF FFFF FFFF SCCC CRCR CCCR FFFF RFFF FFFR FFFF FFCR CCCC
10 FSSS CFCC FFFF FFFF CRCC CCCF FFRR FFFF FFFF FFFF CCCF CRRS
11 FFFF CCCF FFFF CCSF CFFF CRCR CFFF FFFF FFFF FFCR FFFF CFCC
12 FFFF CSSS CSCS CFFF FFFF CFFF RCFF FFFC CRRR CRCC CRRC CSSS
13 RRSS CFFF CRRC FFFF FFFF FFCC CFFF CRRR RCFF RCFF FFCC FFFF
14 SSSS FFFS SFCF FFFF RRCF FFFF FFFF CCCC FFFF FFFF FFFF FFFF
15 CCCF CCRR SSCF FFCR CFFF FFRF FFRF CCCC FFFF FFFF CRRR FFFF
16 FFFF CCFF FFFF CRRR FFFF FFFF FFFF FCCC FFFF FFFF RSSS FFFF
17 FFFF FFFF FFFF CRRF FFFF CRCC FFRC CFFF FFFF FFFF SSSS FFFF
18 FFFF SRCC FFFF CCCF FFFF CCFF FCCR FFFF FFFF CFCF CCSC CCCR
19 CCCS CFFF FCCF RCFF FFFF FFFF RRCC FFCC FFRC CFFF FCFF CCFF
20 SSSC CCCR FCCS FFFF FCCC RFFR FFFF RFFF CCCC FFFF FFFF FFFF 
21 CCCC CFFF RCCF CCCC CCCC FFFF FFRF CFFF CCCC FFFF SSCF FFFC
22 CSSS FFFC FFFF RRRR FFFF FFFF RRCC FFRF FFFF FFFF FFFF SSCF
23 SSSR CFFF SCFF CCCC FFFC FFFF FFFF RRCR FFFF FFCR FFFC CCRR
24 RRCC CCCR SSSS FFFF FFFF CFFF FFFF RRRR FFFF CFFF RCCF FFFF
25 FFFF SFFF FFFF FFFF FFFC FFFF FFFF FFFF CCCC FFFF CCCC FFFF
26 FFFF FFFF CSSC FRRR FFCC FFFF FFFF CFFF CRRC FFFF CCCC CCCF
27 FFFF RCFF FFFF CCCC FFFF FFFF FCRC CFFF CFFF FFFF RCFF FFFF
28 FFFF CFFS FCCF CFFC FCFF FFFF RFCC FFFF FFFF FFFC FCCC FCRC
29 CCCF **** FFFF CFFC FFFF FCFC RCCR FFCF FFCC CFFF CRCC CFFC
30 FFFF **** FFFF CFFF CRCC CRRC RRRR FFFF RRCR SRSS RRCF FFFF
31 CFFF **** CFFC **** CRRC **** CCCF FFRF **** CCCC **** FFFF
1807
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 FFFF SSFF RCFF FFFF CCCC RCCR FFFF FFFF FFFF FCCC FCCS FCCC
 2 FFFF SCFC FFFF FCRS RCCC RCFF FCCF CFFF FFCR CRRR FFFC FFCR
 3 CFFF FFFF FFFF FCFF RCFF FFFF FFFF CFCC CFFF RRRC CCCC FFFF
 4 FCCF FFFF CFFF CFCC FFCC FCRF FFCC RRRF FFFC FCRR CCCR FFFF
 5 CFFF FFFC CCCF CFFF FFFF FFFF FFFF CFFF RCFF CCFF CFFC CRRF
 6 CRRF SCCS FFFF FFFF CRRR CRRR FFFF FFFF FFFF FFFF RRRF FCCF
 7 FFFF FFFF FFFF FFFF RRRR FFFF FFFF FFRF FFFF FFFF FFCC FFFF
 8 FFFF FFFF CCSS FFFF CCFF FFFF FCCF CCRC CCRR FFFF FFCC CFCS
 9 FFFF FFFC RRRC FFCC CCCC FFFF FCCF FFFF FFFF FCFF FFFF CCCF
10 CFCC CFFF SCCC RCFF CCFF CFCF CFFF FFFR FFFF FFFF CCFF CRCR
11 FFFF FFCC CCFF FFFF FFFF FFFF CFFC CCCF FFFF FFFF FFFF RCFF
12 FFFF CFFC FFFF CCCC FFFF FFCC FFCC FFFF FFFF FFFF FCCR CFFF
13 FFFF CCCC CCCC CCFF FFFF RCCC CFRF CCRR CCRC FFCF RCCF RRRR
14 FFCS RRRR SCFF CCCF CFCC RFFF FFFF CCRR RRCC FFFF FFFF CFFC
15 FFCS RCCF FFFF FFCC RRFF FFFF CRRC CFFF CFFF FFFF FFFF CSSS
16 CFFF FFFF FFFF CCFF FFFC CRFF FFRF FFFF FFFF FFFF FFFF RFFF
17 CCCC FFFC FFFF FFFC RCCR FFFF FFRF FFCC FFCF CCCR FFCC FFFF
18 SSSS SRRR CSFF CFFC CRCC RCCF FRRF FFCC FFFC FRCR SSSS CFFF
19 FFFF CFCC FFFC CFFF RCRC FFFF CFFC RCCC RCCR CFFF CCRC CFSF
20 FFFF FFCC FFFF FCRC FFFF FFFF RRRR CCRR CFFF FFFC FFFF CFCF
21 FFFF FFFF CCFF CFFF FFFF FFFF CCCC RRRR FCFC FFFF FCSR FCFF
22 FFFF FFFF CCFF FFFF RRRF FCRF CCCC RRRC CCCC RFFF FFFF FFFC
23 FFCC FFFF SFFF FCCR FFFF CFFF RRRC CFFF CRCF FFFF FFFF FFCF
24 SCCC CCCS FFCS RRRR RRCR CRRC FFFF FFFF FFFF FFFF FCFF FFFF
25 CFFF SFFF FCFF RCRC RFFF RRRC FFCC FFFF FFFF FFFF FFFC SSSC
26 FFFF FFFF FFFF CFCC FCRC FFFF FFFF FFFF FFRF CCFF RCCC CFCF
27 CCSC FFFF FCSF CCCC RCFF FFFF FFFC FFFF FCFF CCCC RRRR FFFF
28 RRRR CCCC FFFF CFFF FRRF RRCF RRCR CRCC FFFF FFFF FFCF FFFF
29 CFFF **** SCCF CCCC FFFF CCFF FFFF CCFC FFFF FFFF CFFF CCRR
30 CFFF **** CFFF CCRR FFFC CFFF FFFF CFFF FFFF CCRR FFFF SFFF
31 CCRR **** SSSR **** RCCC **** FFFF FFRF **** CCCF **** FFFF
1808
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 CFFF RRFF CCFF RCFF FFFF CRCC FFFC FFFF FFFF CCFF FFCC CCCR
 2 FFFF FFFF FFFF CCFC FFFF FFFF CCCC FFFF FFFF CRFC FFCF CCRR
 3 SSSS FFFC FFFF RCCC FFFF FFFF RCCC FFFF FFCF FFFF CCCC RRRR
 4 CFFF RRCC FFFF CFFF FFFF FFFF RCRC FFFF CFRR FCRR CCCF RCFF
 5 FFFF RCCR FFCF RRRR FFFC FFFF FFFC FCCF FFFF RRRF FFFF FFSF
 6 FSSS CCCC FFFF FFFF RFFF FFCF RFFF FFFF FFFR FCRR FCCC CFFC
 7 CCCC CSSS FFFF FFFF FRRF FCCR FFFF CFFF FFCF FFCR FFFF FFFF
 8 SSSS RRCC FFCR FFFF CCFF FFFF CFCC RFFF FFFF FFFF FFRF FFFF
 9 CFFF SFCC FFFF CFFF CCFF FFFF RRRR FFFF FFFF FFFC CCRC FFFC
10 FFFF CFFF CCCR FFFF FCFF FFFF RCRC FFFF FFFF RRCF CCCC CFFF
11 FCCS FFCS RFFF FFCR CCRR CFFF RRRF FFFF FFFF CFFF CCCC CRRR
12 FFFF FFCC FFFF RCFF RRRR RRRR FFFF FFFF CCCC CRCR CCCC FFFF
13 FFFF CFFF FFFC FFFF CCCC RFFF RFFF FFFF FFFF RCFF RRRR FCCC
14 SSSS CRRF SSCF CFFF RRRC FFFF FFFF CCCC FFFF FFFF FFFF SSCC
15 FFFF FFFF SSFF FFFF RCRR FFFF FFFF FFFF CFFF FFFF RRFR FFFF
16 FFFF FFFC RRRR RRRC CFFF FFFF FFFF FFFF CCCC FCCF FFFC FFFC
17 FCCC SSSC FFFF RRRC FFFF FCCC FFRF FFFF RRFF RCRC FFCF FFFF
18 RRRR FFFF FFCC FCRR FFFF RRRR FFFC FFFF FFFF FFFF FFCF FCCR
19 FFFF FFFF CCCF CRRR FFFF CRCF FFFC CRCF FFFR FFCC FFFF RCCC
20 FSFF FSSS RRRC FFFF CFFC CCFF FFFF FFFF CRRR FCCF CRRC RFFF
21 FFCC SCCF FFFF FFFC FFFC CCFF FFFC FFFF CFFF FFFF CCCR CFFC
22 CCCC CCCF FFFF FFFF RRCR CFFF CCFF FFFF FFFF FRRR RCCC RCRR
23 RRRF FFFF FFFF FFFF FFFF CFRC CCRR FFFF CFFF FFCC FFCF CCCC
24 FFFC CCCF RRRC FFFF FCCR RRCF RCFF FFFF CFCC CCCF FFFF RSSS
25 FFFF FFFF FFFF CCRR RRRR FFFF FFFF FFFF FCCR CCCC FFFC FFFF
26 FFCC FFFF FFFF RRRR RRCC FFFF CRRC FFFF CFCC CCFF CCCC SSSS
27 CCCC CFCF CFFC FFFF CFFC FFFR FFFF FFFF FFFF FFFR FFFF FFFF
28 SSFF FCFF CFFF FFFF RRRC FCRC FFFF FFFF FFFF SFFF SCFF FFFC
29 FFFF CCFF FFFC FFFF RCRF FFFC CCRR FFFF CCRR FFFC CFFC CSSS
30 FFFF **** CFFF FFFF FFFF CFFF RCFF FFFF RCFF FFFF CCCC SSCF
31 FFFC **** CRRC **** FFRC **** CFFF FFFF **** FFFF **** CFFF
1809
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 CFCR FFCC RFFF FCFC RCCF CFFF FFFF FFFF FFFF FFFF FFFF FFCR
 2 FFFF CFCC FFFC FFCC FFFF FFCC RCFC FFFF FFFF FFFF FFFC CCFF
 3 FFFF FFFF SFFF FFFF FFFF FFRC FFFF FFFF CCCC FFFF FCCF FCCF
 4 FFFC FFFF CSCC FFFC CRRR FFFF FFFF RCFF FFRF RCCC RRRR FFFC
 5 FFFC SSSS CFFC RRRR RFFR FFFC FFFC FFFC FFFF CCFF CCCC CRRC
 6 FFFF SFFF SCFF RRCC FFFF FFFC FFCF FFFC FFCF FFCR FFFF CRCC
 7 CFFF CFFS FFFF SRCF FFRR FFFF CFFF CFFF FFFF FFFF FFFC CCCC
 8 CSFF FFFF CCCR FFCF FFFF FFRR FFFF FFRF FFFF FFFF SCFF FFFC
 9 FFCC FFCF CFFF FFFF FFFF CFCC FFFF FFFF FFFF FFFF CFCC RRRR
10 SCSC FFCS FFCF FFFF FCRR CCCC FFFF FFFF FFFF FFFF RCRF RRRR
11 FFFF SSFF FFFC FFCF RRCR RCFC CFCC CFCR FFFF RFFF FFFF SSSS
12 CSFF FFFF CFCF RRRR RRFC FCFF RRRR CCCC CFFF CFCC FFFF CFFC
13 FFFC SCFF FCSS RCRR RCFC FFFF RCFF CCFF FFFF CCCF FFCR CCCC
14 FFFF SSSS FFFF CRCF CCCF CFFF FRFF CFFF FFFF FFFR RCRR RFFF
15 SSSS CFFF CRRF FCCF RRCF RRRC FFFR RFFF CRFR CCCC FFFF FFFC
16 SCCF FFFF FFFF FFFF FFFF CFFF CFFC FFFF FRRF CCCC FFFF CFFC
17 FFFF FCCC FCRR FFFC FFFF FFFF CRRR CRRC FFFF CCRR FFFF FFFF
18 FFCF RRRR CCCC CFFF FFFF RRRR RRRR RFFC FFFF FFFF CFFF FFCF
19 SRCF SSCC RCCR FFCC CCCC CRFF RRRR FFFF FFFF FFFF CCFF CFFF
20 FFFF FFSS FFFF FFFF CFFR FRFF CCCC FFFF FFFF FFFF CSSC CCCC
21 FFFF CFFF FFCC FFFF CFCR FFFF FFCF FFFF FFFF CFFF SSSS FFFC
22 CSSS CFFF FSSC CCRR CFFR RRRR FFCF FFFF FFFF FFFF FCFF RRSF
23 RCFF CSFF CCCF CRRF FFCC FFFF FFRF FFFF CFFR FFFR FFFF FFCF
24 FFFF FFFF RRFF RRCR FFFF FCCR FFCC RCCR FFFF CFCF SSSC FFFF
25 FFFF CSCC FFFF FFFF FFFF FFCC CFCF RCCF FFFR FFFF FFFF FCRR
26 SSFS FFFF CSCC FCCF FFFF CCCF FFRF CFFR FFFF FFFF FFFC FFCC
27 FFFF CFFF SFFC FFFF FFFF CCFF FFRF RRRC FFFF FFFF RCCC RRRS
28 FFFF CFFC FFFF FFFF RRCC FFFF FFFF FFFF FFFF CCCR RRSS FFFF
29 FFCF **** FCFF FFFF RRCC CFRC FFFF FFFF FFFF FFFF CCCC FFFF
30 SSSS **** FFFF FFFF FFFF CFFF FFFF FFFF FFFF RCCR CCCF CFCC
31 FFFF **** FFCF **** FFRC **** FFFF RFFF **** FFFF **** SSRR
1810
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 CFFF FFFF FFFF SSSS FFFF FFFF FFFF FFCF CFCF FFFF FFFC FFFF
 2 CCCC FFFF CFCS CFFF FFFF FFFF FFFF FCRC FFFF CFCC SSSS FFFF
 3 CCRC FFCC FFFF FFFF FFCR FFCC FFFF RFFF FFFF CFFF SCFC SCCS
 4 RCCF FFFF FFFF CFFF RFCC RFFC FFCC FFFF RFFF FFFF CFFF SSSS
 5 FFRR SFCF CCRS FFFF FCFC RFCC RFFF FRRC FFFF FFFF FFFF FFFF
 6 RFCC FCFF FFFF FFFC FCCF FFFF FFFF FFFF FFFF FFFF FFFF FFFF
 7 CCCC FFFF FFFF FFFF FFFF FFCC FFFF FFFF FFFF RRRC FFFF FSFC
 8 FFFF FFFC CCCC FFCC FFCC RRRR CRRR FFFF RCFF RRCC FFCC CFFF
 9 CCCR CCCF RRCF RCFF FFFF RCCC FFFF FFFF FFFF FFFC CRCC FFFF
10 RCCF FFFF FFFF CCFF FFFF CCRC CFFF RRRR FFFC FFFF CCCC CCFF
11 CCCF FFFF FFCF FFFF FFFF RRCR CFFF CCCR FFFF FFFF RCCC FFFF
12 SFFF FFFC SSSF FFCF FFFF RRCR FFFF RFFF FFFF FFFF CCCC FSSS
13 CFCC FFFF FFCR CFFF CFCC CFFF CFCF FFFR FFFF FFCR CCCC CFFF
14 FFFF FFFF CFFF FCCF RFFF FFFF CFFF RCRC CFCC CCFF CCCC FFFF
15 CFFC FCCR CFFC FFFC FRCF FFCR FFFF FRFF RFFF CFFC CFFC FCCS
16 FFCC FFFF FFFF CFFF FFFF FFFF FCCR FFFF FFFF FFFC RRRR CFFF
17 CFCC FFFF FFFF CFFF FFFF FFFF FFFF CCCC FFFC CFFF FFFF FFFF
18 FFCR CRRR FFFF FFFF CFFF FFFF FFFF CCFC FFFF FFFF FFFF FFFS
19 FFFF CCCR FFCS FFFF CFFF FFRC CFFF CRRR CCCC FFFF CRRR CCCR
20 FFFF CCRR FFCR FFFF FFFF CFFC CFRC RRRR RCCR CCCC CCCF CFFC
21 FFFF CCCC FFFF FFFF RFFF RCCC FCFF RFFF RCRC CFFF FFFF SRCC
22 FFFF FFFF FFCC FFCC FFFF CCFF FFFC RCCF FFFC FFFF FFFC CCCC
23 FFFF FFCF CCCC CCCC FFFF FFCF RRFC RFFC RRRR FFFF CCCC FFFF
24 CSSF CFCR CCFF CCCC FFFF FFFF FFFF FRRC RRRR FFFF CFFF FFFC
25 SFFF RFCC CFCF CCFC FFFF FFFF FFFR CRRR RRRR FFFF FFFF FFFF
26 FFCS CFRF SSCC CRRC CFFF FFFF FFCC RFFF RCFF FFFF CRRR FFFS
27 FFFF FFFF FFFF RCCR FFFF CCRR FFFC FFFF FFFF FFFF RFCC FFFC
28 FFFF FFFF FFFF FFCR FFFF CFFC FFCF FFFF CFFF FFFF FFFF CCCC
29 FFFF **** FFRC CRRR FFRR CFFF RCCC CRCC FFFF CCRC FFFF CFFF
30 FFFF **** FFFF CFRC RCCC CFRF RRCC CFFF FFFF FFFF RRCF CCCC
31 FFFF **** FFFF **** FFFF **** CCCC FFFF **** CFFF **** SCFF
1811
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 CCCS SCSS FFFF RRFF CRFF CFCC FFFF RRRC CFFF FFFF CFFF FFCF
 2 CCFF CCCC FFFF FFFC FFFF FFFC FFFF FFFF FFFF FFFF FFFF FFFF
 3 FFFF SSSS FFFC FCCC FFFF FFFF CFCF FFFF CFFF FFFF CFCF FFFF
 4 CSSS SSSS FFFF CRCR FFFF FFFF FFFF FFFR FFFF CCFF FFFF FFFF
 5 RCCC SSCC CFCC FFFF FFFF FFFF FFFF FFFF FFRC CCFF FFFC FFCR
 6 CCCC CCCC CSSS FFFF RCCC FFFC FFFF FFFF CFFF RRCC RRCR RFCF
 7 CCFF CCCC CFFF SCFF RFFF CFFF FCFF FFCF FFCF FCCR FCFC FFFC
 8 CCCC CSSC FFCC CFFF CCCR RRCC FFCF FFFF FFFF RRCF CFRR RFFC
 9 CCCC SCSS CFCF FFFF CRRC FFRF RCCC FFFF FFFF CFFC RRRC FFCC
10 SSCS CSSC FFFF FFCF FFFF CRRC RCCC RRRR FFFF CFCC FFFF FFFF
11 CCFF FFFF FFCC RCCC FFFC RCRC RCRC RFFF FFFF CFFF FCCF CFCF
12 CCFF FCSS CCFF SFFF CFFC FCCF RCCR FFFF RFRF FFFR CFFC FFFF
13 CSSS FFFF FFFF CFFF RCRR FFFF RRRR FFFF CFFF FFFC FCCF CFCC
14 SSCF FFFF FFFF FFFF FFFF CCCF CFFF FFFC FFFF CFCC FFFF CCCF
15 FFFF FFFF FFFF FFFF FFFF FFFF CFFF CFCF FFFF CCRR FFFF SCCC
16 CSSR FFCS FFFF FFFF CFFF FFCR FFFF RFCF FFFF RRCC FFCR RFFF
17 CFFF CCCC FFFF CFFF FFFF FRRC CCRR CFFF FFFF FFFF FFFF CCCC
