1786
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
21 FFCF FCCS CFFF CFFF CCRF FFFF FFFF FFFF FFFF RRFF CCCR SSSS
22 SSSS RRCC SSSC FFFC FFFF CCCC CFCF FFFF FFFF FCCF RCCF CFFF 
23 FFFF CCSC FFFF FFCC FFFF FFFF FFFF FFFF FFFF FFFF CFFF CCCC
24 CCCC SFFF FFFF RRCC FFFF FFFF FFCC FFFF FFFF FCCR FFFF SSCF
25 CCSS FFFF FFFF CCRS FFFC FFFF FCCF CCCR FFCC FFCF FFCC FFFF
26 CCCC FFFF FFFF FFFF CFFF FFFF FFFF CRCR CCRC RRRS RRRR FFCC
27 SCRS CCCC FFFF FCFF FFFF FFFF FFFF RFRF CCRR RRRR RRRR RRRR 
28 CCCC FCCC FCRR CCRR FFFF FFFF CCCF FFFF CFFF CCCF CCRR RCSS
29 SRCF **** FFFF RRCC FFCR FFFF FFFF CRRR CRCC CCRC CCCR RSSS
30 FCCS **** FSRR RCRC FFRR FFFF FFCR FFFF FFFF CCFF CCCR FFCC
31 SCFC **** CFCC **** FFFF **** RRRR FFFF **** SCFF **** CFCR
1790
   Jan. Feb. Mar. Apr. May  Jun. Jul. Aug. Sep. Oct. Nov. Dec.      
 1 FFFF CSRR FFCS FFFF FFFF CCCC CFFF FFFF CCCC FFCC FFFF FFFF
 2 FFFF CFCF SCCC CCRR FFFC FFFF FFFF FFFC CFFC CFFC FFFF FFFC
 3 FFFF FFFF RCFF FFFF FFFF FFFF FCFF CRCF FFFF CCCC FFCR RSSC
 4 FCCC CSRR FFFF CCCF FFFF FFFC FCCF FFFF FFCR CCFF FFFF FFCS
 5 CFFF FFFF FCCS CCFF CRRC CFFF RCCC CFRC FFFF FFFF FFFF CFFF
 6 FFFC FFFF RCRC CCRR RRRR FFFF FCRC CFRR FFCR FFFC FCCC FFFC
 7 FFCF FCSS CCFF SCFF FFFF RRRR CCRC CCCC FFFF FFFF FCCF FFFF
 8 FFFF FFFF SFFC FCFC FFFF FFFF CFCF CFCF CFCF CCCR FFFF FFFF
 9 FFFF FFFF FFFF FFFF CFFF FFFF FFFF RCRR FCCF RRRR FFFF CCCC
10 FFFF FFFF FCCC RRCR CFFF CCFF FFFF RCCF CCFF RCCC CCFF CCCC
11 FCSS FFFF SRRR RRRC FFFF FFFF FFCR CCFF FFFC FFFF FFFF RRRR
12 FFFF FFFF FFFF FCFF CCCC CRRR CFRR CFFF CFFC FFCC FFFF RRSF
13 FCSR FFFF CCCF FFFC CFFF CRRC CFFF FFFF CFFC FFCC FFFF FFFF
14 CFFF FSSF FCCC FFFF FFFF FFFF FFFF FFFF CCRR RRRR FFCR FFFF
15 CCCS CCCC FFFF CCFF FFRC FFFF FFFC FFFF FCFC CFRF FFCC FFFF
16 RCCC CCCC FCSS FFFF FCRC FFFF FFCR FFCC FFFF FFFF CRRR SSSC
17 CFFF SSCC RRCF FFCC RCFF FFFF RCRR FFFR FFFF FFFF RRRR FFFF
18 FFFF CFCF CCFF CCRR FFFF CCRR FFFF RRRR FFFF FFFF RRRR FFFF
19 CRRC FFFF FFFF CRRR FFFF CCFF CRCR RRRF FFFF FFFF RRRR FFCS
