date,p0,p1,datestring
1787-02-06,1024.1,1024.4,1787_February_6
1787-02-07,1028.3,1025.1,1787_February_7
1787-02-08,1015.6,998.6,1787_February_8
1787-02-09,1000.7,1019.7,1787_February_9
1787-02-10,1031.1,1031.6,1787_February_10
1787-02-11,1027.7,1003.1,1787_February_11
1787-02-12,1008.9,1019.1,1787_February_12
1787-02-13,1025.6,1034.6,1787_February_13
1787-02-14,1038.0,1012.7,1787_February_14
1787-02-15,1002.2,1006.4,1787_February_15
1787-02-16,1022.8,1018.8,1787_February_16
1787-02-17,1013.7,1020.1,1787_February_17
1787-02-18,1028.9,1021.0,1787_February_18
1787-02-19,1017.7,1008.3,1787_February_19
1787-02-20,999.5,1005.4,1787_February_20
1787-02-21,1010.0,1010.3,1787_February_21
1787-02-22,1013.8,1016.2,1787_February_22
1787-02-23,1020.6,1021.1,1787_February_23
1787-02-24,1023.7,1018.3,1787_February_24
1787-02-25,1017.9,1014.2,1787_February_25
1787-02-26,1015.6,1011.1,1787_February_26
1787-02-27,1001.1,993.9,1787_February_27
1787-02-28,993.9,992.8,1787_February_28
,9999.9,9999.9,1787_February_29
,9999.9,9999.9,1787_February_30
,9999.9,9999.9,1787_February_31
1787-03-01,995.4,999.7,1787_March_1
1787-03-02,1009.7,1017.1,1787_March_2
1787-03-03,1018.8,998.5,1787_March_3
1787-03-04,1008.4,1011.9,1787_March_4
1787-03-05,1010.0,999.9,1787_March_5
1787-03-06,998.5,998.4,1787_March_6
1787-03-07,1007.4,1010.0,1787_March_7
1787-03-08,1026.3,1029.0,1787_March_8
1787-03-09,1025.9,1000.1,1787_March_9
1787-03-10,992.1,1005.4,1787_March_10
1787-03-11,1015.2,1021.7,1787_March_11
1787-03-12,1022.6,1012.7,1787_March_12
1787-03-13,1003.1,1003.6,1787_March_13
1787-03-14,1018.6,1025.3,1787_March_14
1787-03-15,1029.4,1023.3,1787_March_15
1787-03-16,1020.1,1026.6,1787_March_16
1787-03-17,1029.7,1026.4,1787_March_17
1787-03-18,1023.0,1009.6,1787_March_18
1787-03-19,1001.5,1002.8,1787_March_19
1787-03-20,1006.6,1003.0,1787_March_20
1787-03-21,1007.3,1002.9,1787_March_21
1787-03-22,1007.9,1006.8,1787_March_22
1787-03-23,994.9,996.6,1787_March_23
1787-03-24,1001.2,1011.7,1787_March_24
1787-03-25,1014.0,1016.9,1787_March_25
1787-03-26,1021.8,1020.1,1787_March_26
1787-03-27,1019.0,1016.5,1787_March_27
1787-03-28,1013.6,1003.8,1787_March_28
1787-03-29,1003.7,1009.8,1787_March_29
1787-03-30,1007.5,1009.8,1787_March_30
1787-03-31,1007.6,1014.4,1787_March_31
1787-04-01,1019.4,1008.9,1787_April_1
1787-04-02,1005.1,1016.0,1787_April_2
1787-04-03,1021.0,1011.2,1787_April_3
1787-04-04,1007.5,999.1,1787_April_4
1787-04-05,1003.1,1017.2,1787_April_5
1787-04-06,1022.2,1018.0,1787_April_6
1787-04-07,1019.8,1015.4,1787_April_7
1787-04-08,1013.8,1004.0,1787_April_8
1787-04-09,997.6,999.3,1787_April_9
1787-04-10,1004.8,1009.9,1787_April_10
1787-04-11,1012.5,1014.9,1787_April_11
1787-04-12,1020.7,1016.3,1787_April_12
1787-04-13,1012.0,998.8,1787_April_13
1787-04-14,998.3,1005.0,1787_April_14
1787-04-15,1008.2,1010.1,1787_April_15
1787-04-16,1014.1,1014.6,1787_April_16
1787-04-17,9999.9,1012.2,1787_April_17
1787-04-18,1012.9,1019.0,1787_April_18
1787-04-19,1018.0,1009.4,1787_April_19
1787-04-20,1009.4,1008.3,1787_April_20
1787-04-21,1009.3,1007.0,1787_April_21
1787-04-22,1001.4,1008.8,1787_April_22
1787-04-23,1008.2,1008.0,1787_April_23
1787-04-24,1010.4,1010.1,1787_April_24
1787-04-25,1009.2,999.2,1787_April_25
1787-04-26,993.6,1007.0,1787_April_26
1787-04-27,1010.9,1010.2,1787_April_27
1787-04-28,1012.6,1011.1,1787_April_28
1787-04-29,1008.0,998.8,1787_April_29
1787-04-30,1000.6,998.3,1787_April_30
,9999.9,9999.9,1787_April_31
1787-05-01,996.2,1004.0,1787_May_1
1787-05-02,1009.5,1013.3,1787_May_2
1787-05-03,1015.8,1014.1,1787_May_3
1787-05-04,1013.2,1006.6,1787_May_4
1787-05-05,1002.4,998.8,1787_May_5
1787-05-06,1003.8,9999.9,1787_May_6
1787-05-07,998.0,1002.1,1787_May_7
1787-05-08,1004.9,1008.3,1787_May_8
1787-05-09,1012.9,1012.8,1787_May_9
1787-05-10,1010.2,1008.3,1787_May_10
1787-05-11,1011.2,1013.5,1787_May_11
1787-05-12,1017.1,1018.3,1787_May_12
1787-05-13,1016.6,1017.0,1787_May_13
1787-05-14,1017.5,1013.9,1787_May_14
1787-05-15,1013.0,1011.6,1787_May_15
1787-05-16,1011.3,1009.5,1787_May_16
1787-05-17,1007.9,1001.9,1787_May_17
1787-05-18,998.1,993.8,1787_May_18
1787-05-19,995.8,995.7,1787_May_19
1787-05-20,995.9,996.2,1787_May_20
1787-05-21,1001.9,1007.1,1787_May_21
1787-05-22,1009.5,1011.0,1787_May_22
1787-05-23,1012.2,1011.0,1787_May_23
1787-05-24,1009.9,1007.1,1787_May_24
1787-05-25,1005.8,1011.7,1787_May_25
1787-05-26,1012.3,1012.5,1787_May_26
1787-05-27,1012.3,1014.5,1787_May_27
1787-05-28,1014.8,1014.2,1787_May_28
1787-05-29,1013.8,1012.8,1787_May_29
1787-05-30,1009.3,997.6,1787_May_30
1787-05-31,991.1,997.4,1787_May_31
1787-06-01,995.9,997.6,1787_June_1
1787-06-02,998.6,996.9,1787_June_2
1787-06-03,995.8,989.5,1787_June_3
1787-06-04,991.5,992.8,1787_June_4
1787-06-05,996.4,1000.1,1787_June_5
1787-06-06,999.8,996.6,1787_June_6
1787-06-07,994.4,994.5,1787_June_7
1787-06-08,994.9,997.4,1787_June_8
1787-06-09,1000.5,1001.6,1787_June_9
1787-06-10,1003.3,1003.0,1787_June_10
1787-06-11,1004.8,1005.1,1787_June_11
1787-06-12,1005.3,1011.9,1787_June_12
1787-06-13,1016.9,1010.1,1787_June_13
1787-06-14,1005.5,997.4,1787_June_14
1787-06-15,997.6,9999.9,1787_June_15
1787-06-16,1005.3,9999.9,1787_June_16
1787-06-17,1005.9,997.6,1787_June_17
1787-06-18,995.5,997.4,1787_June_18
1787-06-19,1001.5,1006.9,1787_June_19
1787-06-20,1010.7,1012.9,1787_June_20
1787-06-21,1009.5,1005.0,1787_June_21
1787-06-22,1001.4,1006.5,1787_June_22
1787-06-23,1008.1,1006.4,1787_June_23
1787-06-24,1005.8,999.2,1787_June_24
1787-06-25,993.2,1000.0,1787_June_25
1787-06-26,1006.5,1003.1,1787_June_26
1787-06-27,998.5,1002.1,1787_June_27
1787-06-28,1005.4,1010.9,1787_June_28
1787-06-29,1013.6,1011.8,1787_June_29
1787-06-30,1009.8,1007.0,1787_June_30
,9999.9,9999.9,1787_June_31
1787-07-01,1011.6,1009.8,1787_July_1
1787-07-02,1009.1,1008.7,1787_July_2
1787-07-03,1005.9,1002.3,1787_July_3
1787-07-04,1004.7,1005.1,1787_July_4
1787-07-05,1005.8,1005.8,1787_July_5
1787-07-06,1006.5,1009.3,1787_July_6
1787-07-07,1009.4,1006.4,1787_July_7
1787-07-08,1006.3,1008.5,1787_July_8
1787-07-09,1010.3,1010.6,1787_July_9
1787-07-10,1010.8,1012.0,1787_July_10
1787-07-11,1011.6,1006.9,1787_July_11
1787-07-12,1004.9,1005.2,1787_July_12
1787-07-13,1005.2,1007.3,1787_July_13
1787-07-14,1006.6,1009.8,1787_July_14
1787-07-15,1009.5,1006.6,1787_July_15
1787-07-16,1003.4,998.5,1787_July_16
1787-07-17,1001.8,1006.1,1787_July_17
1787-07-18,1006.1,1008.4,1787_July_18
1787-07-19,1010.2,1011.6,1787_July_19
1787-07-20,1013.5,1013.8,1787_July_20
1787-07-21,1012.4,1007.5,1787_July_21
1787-07-22,1008.8,1008.2,1787_July_22
1787-07-23,1006.8,1006.4,1787_July_23
1787-07-24,1006.3,1005.2,1787_July_24
1787-07-25,1005.4,995.7,1787_July_25
1787-07-26,995.7,998.0,1787_July_26
1787-07-27,997.4,1002.5,1787_July_27
1787-07-28,1005.7,1009.3,1787_July_28
1787-07-29,1008.1,1013.1,1787_July_29
1787-07-30,1016.4,1020.6,1787_July_30
1787-07-31,1020.0,1016.7,1787_July_31
1787-08-01,1014.9,1012.5,1787_August_1
