,Stn,Datum,Tijd,P,qP,T,qT
220,44,19380421,8.0,761.0602,0,26.11111111111111,0
221,44,19380421,15.0,759.0282,0,28.333333333333332,0
222,44,19380422,8.0,761.0602,0,26.38888888888889,0
223,44,19380422,15.0,759.0282,0,28.333333333333332,0
224,44,19380423,8.0,761.0093999999999,0,26.666666666666668,0
225,44,19380423,15.0,759.206,0,28.88888888888889,0
226,44,19380424,8.0,761.4412,0,26.944444444444443,0
227,44,19380424,15.0,759.7393999999999,0,28.61111111111111,0
228,44,19380425,8.0,760.5014,0,26.666666666666668,0
229,44,19380425,15.0,758.7995999999999,0,28.055555555555557,0
230,44,19380426,8.0,761.5174,0,26.38888888888889,0
231,44,19380426,15.0,759.2822,0,28.333333333333332,0
232,44,19380427,8.0,761.2633999999999,0,26.38888888888889,0
233,44,19380427,15.0,759.8156,0,28.055555555555557,0
234,44,19380428,8.0,761.0602,0,26.11111111111111,0
235,44,19380428,15.0,759.2822,0,28.333333333333332,0
236,44,19380429,8.0,760.4506,0,26.944444444444443,0
237,44,19380429,15.0,758.5201999999999,0,28.333333333333332,0
238,44,19380430,8.0,761.4412,0,26.944444444444443,0
239,44,19380430,15.0,759.7139999999999,0,28.88888888888889,0
240,44,19380501,8.0,761.492,0,26.666666666666668,0
241,44,19380501,15.0,760.0441999999999,0,28.333333333333332,0
242,44,19380502,8.0,761.4158,0,27.22222222222222,0
243,44,19380502,15.0,760.2474,0,28.61111111111111,0
244,44,19380503,8.0,761.1872,0,26.944444444444443,0
245,44,19380503,15.0,759.4599999999999,0,28.88888888888889,0
246,44,19380504,8.0,760.7045999999999,0,26.944444444444443,0
247,44,19380504,15.0,758.5709999999999,0,27.77777777777778,0
248,44,19380505,8.0,759.4345999999999,0,26.944444444444443,0
249,44,19380505,15.0,757.4534,0,28.61111111111111,0
250,44,19380506,8.0,759.2314,0,26.666666666666668,0
251,44,19380506,15.0,758.0122,0,28.333333333333332,0
252,44,19380507,8.0,760.9585999999999,0,26.944444444444443,0
253,44,19380507,15.0,758.444,0,28.88888888888889,0
254,44,19380508,8.0,760.9078,0,27.5,0
255,44,19380508,15.0,759.1805999999999,0,29.166666666666668,0
256,44,19380509,8.0,760.6537999999999,0,27.5,0
257,44,19380509,15.0,758.9266,0,29.166666666666668,0
258,44,19380510,8.0,761.3396,0,27.77777777777778,0
259,44,19380510,15.0,759.1805999999999,0,29.166666666666668,0
260,44,19380511,8.0,761.1364,0,27.5,0
