SEF	1.0
ID	Oranjestad_Aruba
Name	Oranjestad Aruba
Source	KNMI_Caribisch
Lat	12.52
Lon	-70.04
Alt	5
Link	
Vbl	rr
Stat	sum
Units	mm
Meta	Data policy=open
Year	Month	Day	Hour	Minute	Period	Precipitation	Meta
1938	11	09	16	00	day		qc=7
1938	11	09	21	00	day		qc=7
1938	11	10	00	00	day		qc=7
1938	11	10	11	00	day		qc=7
1938	11	10	16	00	day		qc=7
1938	11	10	21	00	day		qc=7
1938	11	11	00	00	day		qc=7
1938	11	11	11	00	day		qc=7
1938	11	11	16	00	day		qc=7
1938	11	11	21	00	day		qc=7
1938	11	12	00	00	day		qc=7
1938	11	12	11	00	day		qc=7
1938	11	12	16	00	day		qc=7
1938	11	12	21	00	day		qc=7
1938	11	13	00	00	day		qc=7
1938	11	13	11	00	day		qc=7
1938	11	13	16	00	day		qc=7
1938	11	13	21	00	day		qc=7
1938	11	14	00	00	day		qc=7
1938	11	14	11	00	day		qc=7
1938	11	14	16	00	day		qc=7
1938	11	14	21	00	day		qc=7
1938	11	15	00	00	day		qc=7
1938	11	15	11	00	day		qc=7
1938	11	15	16	00	day		qc=7
1938	11	15	21	00	day		qc=7
1938	11	16	00	00	day		qc=7
1938	11	16	11	00	day		qc=7
1938	11	16	16	00	day		qc=7
1938	11	16	21	00	day		qc=7
1938	11	17	00	00	day		qc=7
1938	11	17	11	00	day		qc=7
1938	11	17	16	00	day		qc=7
1938	11	17	21	00	day		qc=7
1938	11	18	00	00	day		qc=7
1938	11	18	11	00	day		qc=7
1938	11	18	16	00	day		qc=7
1938	11	18	21	00	day		qc=7
1938	11	19	00	00	day		qc=7
1938	11	19	11	00	day		qc=7
1938	11	19	16	00	day		qc=7
1938	11	19	21	00	day		qc=7
1938	11	20	00	00	day		qc=7
1938	11	20	11	00	day		qc=7
1938	11	20	16	00	day		qc=7
1938	11	20	21	00	day		qc=7
1938	11	21	00	00	day		qc=7
1938	11	21	11	00	day		qc=7
1938	11	21	16	00	day		qc=7
1938	11	21	21	00	day		qc=7
1938	11	22	00	00	day		qc=7
1938	11	22	11	00	day		qc=7
1938	11	22	16	00	day		qc=7
1938	11	22	21	00	day		qc=7
1938	11	23	00	00	day		qc=7
1938	11	23	11	00	day		qc=7
1938	11	23	16	00	day		qc=7
1938	11	23	21	00	day		qc=7
1938	11	24	00	00	day		qc=7
1938	11	24	11	00	day		qc=7
1938	11	24	16	00	day		qc=7
1938	11	24	21	00	day		qc=7
1938	11	25	00	00	day		qc=7
1938	11	25	11	00	day		qc=7
1938	11	25	16	00	day		qc=7
1938	11	25	21	00	day		qc=7
1938	11	26	00	00	day		qc=7
1938	11	26	11	00	day		qc=7
1938	11	26	16	00	day		qc=7
1938	11	26	21	00	day		qc=7
1938	11	27	00	00	day		qc=7
1938	11	27	11	00	day		qc=7
1938	11	27	16	00	day		qc=7
1938	11	27	21	00	day		qc=7
1938	11	28	00	00	day		qc=7
1938	11	28	11	00	day		qc=7
1938	11	28	16	00	day		qc=7
1938	11	28	21	00	day		qc=7
1938	11	29	00	00	day		qc=7
1938	11	29	11	00	day		qc=7
1938	11	29	16	00	day		qc=7
1938	11	29	21	00	day		qc=7
