,Stn,Datum,Tijd,F,qF
235,78989,18990110,20.0,11,0
236,78989,18990110,21.0,11,0
237,78989,18990110,22.0,10,0
238,78989,18990110,23.0,11,0
239,78989,18990110,24.0,12,0
240,78989,18990111,1.0,10,0
241,78989,18990111,2.0,10,0
242,78989,18990111,3.0,11,0
243,78989,18990111,4.0,11,0
244,78989,18990111,5.0,10,0
245,78989,18990111,6.0,9,0
246,78989,18990111,7.0,9,0
247,78989,18990111,8.0,13,0
248,78989,18990111,9.0,15,0
249,78989,18990111,10.0,16,0
250,78989,18990111,11.0,17,0
251,78989,18990111,12.0,15,0
252,78989,18990111,13.0,15,0
253,78989,18990111,14.0,15,0
254,78989,18990111,15.0,15,0
255,78989,18990111,16.0,14,0
256,78989,18990111,17.0,13,0
257,78989,18990111,18.0,12,0
258,78989,18990111,19.0,13,0
259,78989,18990111,20.0,12,0
260,78989,18990111,21.0,12,0
261,78989,18990111,22.0,11,0
262,78989,18990111,23.0,12,0
263,78989,18990111,24.0,12,0
264,78989,18990112,1.0,10,0
265,78989,18990112,2.0,10,0
266,78989,18990112,3.0,8,0
267,78989,18990112,4.0,9,0
268,78989,18990112,5.0,9,0
269,78989,18990112,6.0,7,0
270,78989,18990112,7.0,8,0
271,78989,18990112,8.0,11,0
272,78989,18990112,9.0,13,0
273,78989,18990112,10.0,15,0
274,78989,18990112,11.0,15,0
275,78989,18990112,12.0,14,0
276,78989,18990112,13.0,15,0
277,78989,18990112,14.0,15,0
278,78989,18990112,15.0,15,0
279,78989,18990112,16.0,14,0
280,78989,18990112,17.0,13,0
281,78989,18990112,18.0,12,0
282,78989,18990112,19.0,13,0
283,78989,18990112,20.0,15,0
284,78989,18990112,21.0,11,0
285,78989,18990112,22.0,13,0
286,78989,18990112,23.0,12,0
287,78989,18990112,24.0,12,0
288,78989,18990113,1.0,13,0
289,78989,18990113,2.0,9,0
290,78989,18990113,3.0,10,0
291,78989,18990113,4.0,12,0
292,78989,18990113,5.0,12,0
293,78989,18990113,6.0,11,0
294,78989,18990113,7.0,11,0
295,78989,18990113,8.0,13,0
296,78989,18990113,9.0,10,0
297,78989,18990113,10.0,15,0
298,78989,18990113,11.0,17,0
299,78989,18990113,12.0,13,0
300,78989,18990113,13.0,12,0
301,78989,18990113,14.0,15,0
302,78989,18990113,15.0,15,0
303,78989,18990113,16.0,14,0
304,78989,18990113,17.0,15,0
305,78989,18990113,18.0,12,0
306,78989,18990113,19.0,10,0
307,78989,18990113,20.0,11,0
308,78989,18990113,21.0,12,0
309,78989,18990113,22.0,11,0
310,78989,18990113,23.0,12,0
311,78989,18990113,24.0,11,0
312,78989,18990114,1.0,11,0
313,78989,18990114,2.0,9,0
314,78989,18990114,3.0,11,0
315,78989,18990114,4.0,10,0
316,78989,18990114,5.0,10,0
317,78989,18990114,6.0,10,0
318,78989,18990114,7.0,11,0
319,78989,18990114,8.0,12,0
320,78989,18990114,9.0,12,0
321,78989,18990114,10.0,14,0
322,78989,18990114,11.0,11,0
323,78989,18990114,12.0,14,0
324,78989,18990114,13.0,15,0
325,78989,18990114,14.0,17,0
326,78989,18990114,15.0,14,0
327,78989,18990114,16.0,11,0
328,78989,18990114,17.0,14,0
329,78989,18990114,18.0,12,0
330,78989,18990114,19.0,10,0
331,78989,18990114,20.0,10,0
332,78989,18990114,21.0,12,0
333,78989,18990114,22.0,12,0
334,78989,18990114,23.0,10,0
335,78989,18990114,24.0,13,0
336,78989,18990115,1.0,13,0
337,78989,18990115,2.0,12,0
338,78989,18990115,3.0,12,0
339,78989,18990115,4.0,14,0
340,78989,18990115,5.0,14,0
341,78989,18990115,6.0,14,0
342,78989,18990115,7.0,16,0
343,78989,18990115,8.0,18,0
344,78989,18990115,9.0,18,0
345,78989,18990115,10.0,19,0
346,78989,18990115,11.0,18,0
347,78989,18990115,12.0,13,0
348,78989,18990115,13.0,18,0
349,78989,18990115,14.0,17,0
350,78989,18990115,15.0,19,0
351,78989,18990115,16.0,19,0
352,78989,18990115,17.0,16,0
353,78989,18990115,18.0,13,0
354,78989,18990115,19.0,13,0
355,78989,18990115,20.0,14,0
356,78989,18990115,21.0,12,0
357,78989,18990115,22.0,9,0
358,78989,18990115,23.0,9,0
359,78989,18990115,24.0,11,0
360,78989,18990116,1.0,11,0
361,78989,18990116,2.0,14,0
362,78989,18990116,3.0,13,0
363,78989,18990116,4.0,13,0
364,78989,18990116,5.0,12,0
365,78989,18990116,6.0,8,0
366,78989,18990116,7.0,7,0
367,78989,18990116,8.0,11,0
368,78989,18990116,9.0,15,0
369,78989,18990116,10.0,15,0
370,78989,18990116,11.0,18,0
371,78989,18990116,12.0,18,0
372,78989,18990116,13.0,18,0
373,78989,18990116,14.0,18,0
374,78989,18990116,15.0,16,0
375,78989,18990116,16.0,16,0
376,78989,18990116,17.0,15,0
377,78989,18990116,18.0,13,0
378,78989,18990116,19.0,11,0
379,78989,18990116,20.0,10,0
380,78989,18990116,21.0,10,0
381,78989,18990116,22.0,12,0
382,78989,18990116,23.0,10,0
383,78989,18990116,24.0,8,0
384,78989,18990117,1.0,8,0
385,78989,18990117,2.0,7,0
386,78989,18990117,3.0,7,0
387,78989,18990117,4.0,8,0
388,78989,18990117,5.0,8,0
389,78989,18990117,6.0,8,0
390,78989,18990117,7.0,8,0
391,78989,18990117,8.0,10,0
392,78989,18990117,9.0,14,0
393,78989,18990117,10.0,13,0
394,78989,18990117,11.0,11,0
395,78989,18990117,12.0,14,0
396,78989,18990117,13.0,16,0
397,78989,18990117,14.0,15,0
398,78989,18990117,15.0,17,0
399,78989,18990117,16.0,18,0
400,78989,18990117,17.0,18,0
401,78989,18990117,18.0,18,0
402,78989,18990117,19.0,13,0
403,78989,18990117,20.0,13,0
404,78989,18990117,21.0,11,0
405,78989,18990117,22.0,9,0
406,78989,18990117,23.0,10,0
407,78989,18990117,24.0,10,0
408,78989,18990118,1.0,7,0
409,78989,18990118,2.0,9,0
410,78989,18990118,3.0,9,0
411,78989,18990118,4.0,10,0
412,78989,18990118,5.0,8,0
413,78989,18990118,6.0,8,0
414,78989,18990118,7.0,8,0
415,78989,18990118,8.0,12,0
416,78989,18990118,9.0,14,0
417,78989,18990118,10.0,16,0
418,78989,18990118,11.0,18,0
419,78989,18990118,12.0,19,0
420,78989,18990118,13.0,19,0
421,78989,18990118,14.0,18,0
422,78989,18990118,15.0,16,0
423,78989,18990118,16.0,15,0
424,78989,18990118,17.0,14,0
425,78989,18990118,18.0,13,0
426,78989,18990118,19.0,10,0
427,78989,18990118,20.0,12,0
428,78989,18990118,21.0,11,0
429,78989,18990118,22.0,12,0
