,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,PT 19,TT 8,TT 14,TT 18,TT 19,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,dampdruk 19,RH 8,RH 14,RH 18,RH 19,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,DD 19,FF 19,8,14,18,19,Rd 8,Rd 8.1,Unnamed: 33_level_1
48,19050217.0,627.0,621.0,,615.0,232.0,279.0,,255.0,289.0,197.0,175.0,160.0,,166.0,83.0,58.0,,69.0,SSE,2.0,E,6.0,,,E,3.0,3.0,6.0,,3.0,,,
49,19050218.0,625.0,629.0,,620.0,240.0,285.0,,251.0,291.0,208.0,197.0,186.0,,185.0,89.0,65.0,,78.0,E,4.0,NE,6.0,,,NE,4.0,5.0,6.0,,8.0,20.0,,
50,19050219.0,641.0,633.0,,624.0,250.0,284.0,,246.0,292.0,228.0,210.0,199.0,,203.0,89.0,69.0,,88.0,SSE,5.0,SSE,6.0,,,ENE,4.0,10.0,8.0,,8.0,65.0,,
51,19050220.0,633.0,624.0,,622.0,239.0,283.0,,241.0,287.0,227.0,201.0,207.0,,204.0,91.0,72.0,,91.0,SE,3.0,E,6.0,,,ENE,7.0,8.0,10.0,,10.0,65.0,,
52,19050221.0,637.0,630.0,,625.0,259.0,287.0,,260.0,287.0,229.0,206.0,193.0,,208.0,83.0,66.0,,83.0,E,3.0,N,6.0,,,E,6.0,5.0,6.0,,4.0,,,
53,19050222.0,633.0,625.0,,617.0,245.0,276.0,,253.0,290.0,224.0,205.0,204.0,,204.0,90.0,74.0,,85.0,S,2.0,SE,4.0,,,E,4.0,8.0,10.0,,7.0,15.0,,
54,19050223.0,628.0,621.0,,618.0,256.0,265.0,,251.0,281.0,232.0,199.0,208.0,,193.0,82.0,81.0,,84.0,SSE,3.0,E,3.0,,,E,5.0,8.0,10.0,,8.0,30.0,,
55,19050224.0,627.0,622.0,,613.0,250.0,286.0,,256.0,288.0,230.0,208.0,213.0,,212.0,88.0,73.0,,87.0,S,2.0,E,6.0,,,E,4.0,10.0,8.0,,10.0,20.0,,
56,19050225.0,627.0,625.0,,612.0,244.0,279.0,,258.0,297.0,222.0,210.0,218.0,,211.0,92.0,78.0,,85.0,S,3.0,ESE,4.0,,,E,5.0,8.0,10.0,,5.0,215.0,,
57,19050226.0,632.0,630.0,,619.0,250.0,280.0,,240.0,283.0,228.0,220.0,227.0,,212.0,93.0,81.0,,96.0,SSE,3.0,S,7.0,,,S,2.0,10.0,10.0,,10.0,410.0,,
58,19050227.0,639.0,630.0,,618.0,240.0,288.0,,260.0,292.0,226.0,212.0,214.0,,206.0,96.0,73.0,,82.0,SSE,3.0,NE,7.0,,,E,4.0,7.0,5.0,,5.0,5.0,,
59,19050228.0,646.0,633.0,,621.0,250.0,278.0,,261.0,292.0,228.0,206.0,200.0,,197.0,87.0,72.0,,79.0,E,6.0,SE,6.0,,,NE,4.0,5.0,10.0,,8.0,40.0,,
60,,762.8964285714286,762.4,,761.625,24.789285714285715,28.142857142857146,,25.267857142857142,29.017857142857146,22.59642857142857,20.50714285714286,19.95714285714286,,19.557142857142857,86.78571428571429,71.25,,81.85714285714286,,3.4642857142857144,,6.25,,,,4.678571428571429,7.464285714285714,7.821428571428571,,6.5,145.1,,
61,19050301.0,636.0,633.0,,615.0,263.0,258.0,,254.0,276.0,232.0,208.0,213.0,,198.0,82.0,86.0,,82.0,E,4.0,E,6.0,,,ENE,4.0,6.0,10.0,,4.0,100.0,,
62,19050302.0,631.0,623.0,,607.0,252.0,264.0,,257.0,282.0,232.0,212.0,201.0,,198.0,89.0,79.0,,81.0,E,4.0,E,6.0,,,ENE,4.0,6.0,10.0,,8.0,,,
63,19050303.0,626.0,621.0,,605.0,232.0,268.0,,257.0,276.0,206.0,193.0,208.0,,192.0,91.0,86.0,,79.0,SE,3.0,SSE,4.0,,,NE,5.0,10.0,10.0,,8.0,13.0,,
64,19050304.0,626.0,618.0,,607.0,259.0,298.0,,262.0,300.0,235.0,201.0,174.0,,199.0,81.0,56.0,,79.0,E,4.0,NE,7.0,,,NE,6.0,5.0,5.0,,0.0,,,
65,19050305.0,624.0,613.0,,607.0,253.0,296.0,,266.0,302.0,194.0,202.0,207.0,,192.0,84.0,67.0,,74.0,E,3.0,E,6.0,,,NE,4.0,5.0,5.0,,8.0,,,
66,19050306.0,620.0,615.0,,609.0,263.0,290.0,,257.0,296.0,221.0,192.0,178.0,,177.0,76.0,60.0,,75.0,ESE,4.0,E,7.0,,,E,6.0,6.0,7.0,,4.0,,,
67,19050307.0,619.0,615.0,,601.0,252.0,288.0,,257.0,292.0,212.0,186.0,177.0,,177.0,78.0,61.0,,73.0,NE,3.0,E,7.0,,,E,5.0,3.0,5.0,,0.0,,,
68,19050308.0,615.0,615.0,,607.0,258.0,290.0,,255.0,294.0,218.0,193.0,191.0,,195.0,79.0,64.0,,81.0,SSE,3.0,NE,7.0,,,E,3.0,4.0,8.0,,4.0,,,
69,19050309.0,613.0,610.0,,607.0,258.0,286.0,,261.0,298.0,228.0,195.0,199.0,,192.0,79.0,63.0,,77.0,SSE,4.0,NE,7.0,,,ENE,6.0,10.0,7.0,,6.0,,,
70,19050310.0,618.0,619.0,,614.0,258.0,292.0,,263.0,292.0,228.0,205.0,200.0,,206.0,83.0,66.0,,81.0,ESE,4.0,E,6.0,,,E,4.0,10.0,10.0,,5.0,10.0,,
71,19050311.0,628.0,623.0,,616.0,262.0,298.0,,267.0,298.0,232.0,212.0,198.0,,190.0,84.0,63.0,,73.0,E,4.0,E,6.0,,,E,6.0,10.0,7.0,,6.0,,,
72,19050312.0,630.0,619.0,,619.0,258.0,294.0,,261.0,298.0,233.0,203.0,194.0,,195.0,83.0,64.0,,78.0,E,4.0,E,7.0,,,NE,5.0,10.0,10.0,,5.0,,,
73,19050313.0,627.0,621.0,,616.0,267.0,295.0,,262.0,297.0,235.0,203.0,194.0,,199.0,78.0,63.0,,79.0,SE,3.0,ENE,7.0,,,NE,4.0,10.0,8.0,,5.0,,,
74,19050314.0,626.0,617.0,,607.0,265.0,301.0,,257.0,305.0,229.0,210.0,194.0,,194.0,82.0,61.0,,79.0,E,4.0,E,6.0,,,NE,5.0,7.0,7.0,,8.0,20.0,,
75,19050315.0,631.0,617.0,,617.0,249.0,279.0,,254.0,303.0,229.0,211.0,204.0,,192.0,90.0,72.0,,80.0,ESE,3.0,NE,7.0,,,ENE,4.0,10.0,10.0,,8.0,,,
76,19050316.0,632.0,622.0,,616.0,254.0,290.0,,263.0,290.0,234.0,211.0,195.0,,202.0,88.0,65.0,,79.0,NE,4.0,NE,6.0,,,NE,7.0,10.0,8.0,,10.0,,,
77,19050317.0,626.0,617.0,,613.0,262.0,301.0,,258.0,311.0,228.0,195.0,186.0,,199.0,77.0,59.0,,81.0,E,4.0,NE,6.0,,,ENE,3.0,8.0,6.0,,6.0,,,
78,19050318.0,628.0,621.0,,613.0,251.0,297.0,,262.0,299.0,231.0,211.0,189.0,,195.0,89.0,61.0,,77.0,S,2.0,E,6.0,,,E,6.0,10.0,6.0,,4.0,,,
79,19050319.0,621.0,613.0,,618.0,246.0,294.0,,267.0,306.0,224.0,210.0,187.0,,197.0,92.0,62.0,,76.0,S,2.0,NE,7.0,,,NE,5.0,7.0,6.0,,5.0,45.0,,
80,19050320.0,633.0,621.0,,622.0,235.0,274.0,,243.0,304.0,231.0,208.0,205.0,,210.0,96.0,75.0,,93.0,SSE,3.0,NE,4.0,,,SE,3.0,10.0,7.0,,10.0,90.0,,
81,19050321.0,634.0,626.0,,623.0,229.0,285.0,,253.0,287.0,222.0,195.0,196.0,,198.0,94.0,68.0,,83.0,SE,3.0,ENE,4.0,,,E,5.0,10.0,7.0,,4.0,,,
82,19050322.0,621.0,623.0,,616.0,254.0,303.0,,267.0,306.0,222.0,211.0,199.0,,196.0,88.0,62.0,,75.0,S,2.0,E,6.0,,,E,7.0,6.0,8.0,,5.0,,,
83,19050323.0,628.0,621.0,,619.0,268.0,297.0,,260.0,307.0,230.0,201.0,179.0,,190.0,77.0,58.0,,76.0,E,6.0,ENE,8.0,,,ENE,5.0,8.0,6.0,,2.0,,,
84,19050324.0,626.0,623.0,,616.0,266.0,298.0,,263.0,300.0,220.0,206.0,184.0,,194.0,80.0,59.0,,77.0,E,4.0,ENE,7.0,,,ENE,4.0,7.0,8.0,,4.0,,,
85,19050325.0,628.0,618.0,,613.0,271.0,282.0,,262.0,302.0,211.0,207.0,194.0,,187.0,78.0,68.0,,74.0,E,4.0,E,7.0,,,NE,4.0,6.0,10.0,,4.0,,,
86,19050326.0,628.0,613.0,,613.0,265.0,287.0,,258.0,299.0,223.0,216.0,219.0,,213.0,84.0,75.0,,86.0,ENE,4.0,E,5.0,,,E,4.0,8.0,10.0,,5.0,95.0,,
87,19050327.0,627.0,625.0,,613.0,254.0,261.0,,260.0,296.0,224.0,204.0,219.0,,208.0,85.0,87.0,,83.0,SE,3.0,ESE,6.0,,,E,4.0,10.0,10.0,,8.0,65.0,,
88,19050328.0,627.0,619.0,,614.0,237.0,274.0,,248.0,294.0,202.0,181.0,225.0,,211.0,83.0,83.0,,91.0,SSE,3.0,SE,5.0,,,SE,4.0,10.0,10.0,,8.0,70.0,,
89,19050329.0,626.0,621.0,,612.0,252.0,272.0,,241.0,282.0,236.0,209.0,240.0,,215.0,88.0,90.0,,97.0,SSE,3.0,E,3.0,,,SSE,2.0,8.0,10.0,,10.0,175.0,,
90,19050330.0,623.0,624.0,,619.0,251.0,278.0,,260.0,282.0,229.0,202.0,247.0,,208.0,85.0,89.0,,83.0,SE,3.0,S,2.0,,,E,4.0,4.0,8.0,,6.0,35.0,,
91,19050331.0,624.0,616.0,,612.0,261.0,262.0,,247.0,302.0,231.0,217.0,224.0,,212.0,86.0,89.0,,92.0,SSE,3.0,NE,5.0,,,S,2.0,4.0,8.0,,7.0,30.0,,
92,,762.5870967741936,761.941935483871,,761.3096774193548,25.5,28.55483870967742,,25.81290322580645,29.6,22.458064516129035,20.35483870967742,20.06451612903226,,19.77741935483871,84.16129032258064,69.70967741935483,,80.45161290322581,,3.4516129032258065,,5.903225806451613,,,,4.516129032258065,7.67741935483871,7.967741935483871,,5.709677419354839,74.8,,
93,19050401.0,624.0,606.0,606.0,,253.0,307.0,268.0,,307.0,229.0,218.0,231.0,214.0,,91.0,70.0,82.0,,SSE,2.0,S,3.0,E,4.0,,,6.0,8.0,8.0,,30.0,,
94,19050402.0,617.0,613.0,597.0,,264.0,304.0,261.0,,316.0,244.0,225.0,204.0,223.0,,88.0,63.0,89.0,,SSE,4.0,SE,5.0,E,4.0,,,8.0,8.0,10.0,,15.0,,
95,19050403.0,615.0,603.0,602.0,,265.0,300.0,265.0,,314.0,235.0,218.0,215.0,210.0,,85.0,68.0,82.0,,SE,5.0,NE,6.0,E,6.0,,,8.0,6.0,10.0,,80.0,,
96,19050404.0,629.0,622.0,604.0,,234.0,250.0,250.0,,304.0,228.0,207.0,216.0,214.0,,97.0,92.0,91.0,,SE,3.0,S,2.0,SE,3.0,,,10.0,10.0,6.0,,805.0,,
97,19050405.0,624.0,618.0,609.0,,251.0,293.0,268.0,,311.0,229.0,219.0,203.0,208.0,,93.0,67.0,82.0,,SE,3.0,NE,8.0,E,6.0,,,8.0,7.0,8.0,,50.0,,
98,19050406.0,628.0,624.0,617.0,,234.0,286.0,261.0,,294.0,214.0,201.0,179.0,193.0,,79.0,61.0,77.0,,E,4.0,E,6.0,NE,5.0,,,8.0,8.0,8.0,,,,
99,19050407.0,631.0,626.0,617.0,,271.0,266.0,252.0,,286.0,237.0,203.0,204.0,209.0,,77.0,79.0,88.0,,NE,4.0,NE,6.0,NE,3.0,,,5.0,10.0,10.0,,,,
100,19050408.0,628.0,625.0,611.0,,258.0,228.0,240.0,,288.0,238.0,215.0,195.0,216.0,,87.0,95.0,97.0,,NE,4.0,SE,4.0,S,2.0,,,8.0,10.0,10.0,,50.0,,
101,19050409.0,629.0,620.0,617.0,,255.0,284.0,260.0,,284.0,229.0,226.0,195.0,196.0,,93.0,68.0,79.0,,SE,2.0,SE,6.0,E,4.0,,,10.0,8.0,6.0,,265.0,,
102,19050410.0,629.0,629.0,612.0,,251.0,240.0,247.0,,296.0,225.0,219.0,216.0,221.0,,93.0,97.0,96.0,,S,2.0,SE,3.0,SE,2.0,,,10.0,10.0,10.0,,10.0,,
103,19050411.0,624.0,615.0,607.0,,266.0,299.0,266.0,,305.0,232.0,228.0,209.0,206.0,,88.0,66.0,80.0,,SE,4.0,E,6.0,E,5.0,,,8.0,7.0,5.0,,315.0,,
104,19050412.0,627.0,621.0,607.0,,269.0,313.0,262.0,,302.0,236.0,218.0,189.0,200.0,,83.0,55.0,79.0,,ESE,4.0,SSE,6.0,ESE,5.0,,,8.0,6.0,4.0,,10.0,,
105,19050413.0,628.0,623.0,617.0,,260.0,306.0,264.0,,320.0,228.0,211.0,193.0,196.0,,85.0,59.0,77.0,,S,3.0,E,6.0,E,5.0,,,8.0,6.0,4.0,,5.0,,
106,19050414.0,630.0,619.0,622.0,,258.0,278.0,263.0,,298.0,224.0,213.0,212.0,208.0,,86.0,77.0,82.0,,S,2.0,S,3.0,E,4.0,,,8.0,10.0,6.0,,10.0,,
107,19050415.0,616.0,617.0,607.0,,264.0,301.0,271.0,,305.0,234.0,221.0,194.0,213.0,,86.0,61.0,80.0,,ESE,3.0,E,6.0,E,5.0,,,10.0,6.0,5.0,,65.0,,
108,19050416.0,621.0,615.0,610.0,,244.0,280.0,259.0,,302.0,228.0,206.0,217.0,214.0,,91.0,77.0,86.0,,SE,3.0,SE,5.0,ESE,4.0,,,10.0,10.0,10.0,,95.0,,
109,19050417.0,622.0,619.0,607.0,,264.0,294.0,263.0,,294.0,232.0,217.0,185.0,208.0,,85.0,61.0,82.0,,ESE,4.0,NE,6.0,ENE,4.0,,,8.0,7.0,5.0,,190.0,,
110,19050418.0,630.0,621.0,611.0,,271.0,292.0,267.0,,296.0,239.0,205.0,200.0,207.0,,77.0,66.0,80.0,,E,5.0,E,7.0,E,5.0,,,5.0,7.0,5.0,,,,
