,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,PT 19,TT 8,TT 14,TT 18,TT 19,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,dampdruk 19,RH 8,RH 14,RH 18,RH 19,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,DD 19,FF 19,8,14,18,19,Rd 8,Rd 8.1,Unnamed: 33_level_1
252,19050902.0,627.0,615.0,617.0,,271.0,295.0,268.0,,309.0,227.0,220.0,208.0,212.0,,83.0,67.0,81.0,,NE,4.0,E,5.0,ENE,0.0,,,2.0,5.0,5.0,,16.0,,
253,19050903.0,629.0,620.0,621.0,,265.0,317.0,278.0,,301.0,231.0,214.0,198.0,220.0,,83.0,57.0,79.0,,E,4.0,ESE,3.0,NNE,2.0,,,2.0,5.0,4.0,,30.0,,
254,19050904.0,638.0,620.0,619.0,,262.0,321.0,285.0,,321.0,238.0,218.0,200.0,202.0,,86.0,56.0,69.0,,E,3.0,E,3.0,NE,0.0,,,4.0,5.0,4.0,,,,
255,19050905.0,631.0,614.0,617.0,,268.0,327.0,278.0,,329.0,232.0,214.0,194.0,220.0,,82.0,53.0,79.0,,E,1.0,E,3.0,NE,0.0,,,4.0,5.0,6.0,,,,
256,19050906.0,633.0,611.0,614.0,,250.0,275.0,255.0,,332.0,232.0,200.0,214.0,212.0,,77.0,79.0,77.0,,SE,2.0,SE,3.0,ENE,1.0,,,7.0,5.0,0.0,,,,
257,19050907.0,636.0,616.0,615.0,,256.0,326.0,278.0,,336.0,228.0,214.0,193.0,214.0,,88.0,53.0,77.0,,SE,1.0,NE,3.0,NE,0.0,,,4.0,5.0,2.0,,,,
258,19050908.0,622.0,611.0,614.0,,250.0,275.0,255.0,,327.0,222.0,208.0,214.0,195.0,,88.0,79.0,81.0,,NE,1.0,N,0.0,ESE,1.0,,,7.0,5.0,9.0,,,,
259,19050909.0,626.0,612.0,607.0,,254.0,315.0,278.0,,315.0,220.0,209.0,199.0,218.0,,87.0,58.0,78.0,,E,2.0,ESE,3.0,NE,0.0,,,5.0,3.0,3.0,,30.0,,
260,19050910.0,628.0,611.0,613.0,,259.0,329.0,281.0,,327.0,235.0,201.0,167.0,206.0,,81.0,45.0,73.0,,E,1.0,NE,1.0,NE,1.0,,,4.0,5.0,2.0,,,,
261,19050911.0,623.0,609.0,609.0,,259.0,332.0,279.0,,332.0,233.0,206.0,165.0,208.0,,83.0,44.0,74.0,,NE,2.0,E,4.0,NE,1.0,,,1.0,5.0,3.0,,3.0,,
262,19050912.0,621.0,613.0,614.0,,273.0,289.0,267.0,,333.0,231.0,219.0,196.0,211.0,,81.0,66.0,81.0,,NE,1.0,N,3.0,NNE,2.0,,,4.0,7.0,6.0,,55.0,,
263,19050913.0,616.0,605.0,601.0,,269.0,274.0,272.0,,299.0,221.0,220.0,223.0,236.0,,83.0,82.0,88.0,,NE,2.0,NE,3.0,NE,1.0,,,2.0,8.0,5.0,,22.0,,
264,19050914.0,621.0,605.0,601.0,,268.0,328.0,281.0,,318.0,242.0,205.0,171.0,210.0,,78.0,46.0,74.0,,ENE,4.0,E,2.0,NE,2.0,,,5.0,5.0,2.0,,,,
265,19050915.0,621.0,603.0,605.0,,260.0,312.0,271.0,,330.0,229.0,200.0,207.0,184.0,,80.0,61.0,69.0,,E,5.0,N,3.0,NE,1.0,,,1.0,5.0,2.0,,,,
266,19050916.0,623.0,606.0,615.0,,262.0,302.0,273.0,,324.0,230.0,200.0,199.0,200.0,,79.0,62.0,74.0,,ENE,1.0,NE,3.0,NE,2.0,,,0.0,6.0,1.0,,1.0,,
267,19050917.0,615.0,603.0,602.0,,263.0,299.0,253.0,,323.0,229.0,206.0,205.0,210.0,,81.0,65.0,88.0,,NE,0.0,NE,4.0,NNE,0.0,,,2.0,5.0,8.0,,1.0,,
268,19050918.0,618.0,606.0,601.0,,272.0,281.0,263.0,,313.0,216.0,222.0,229.0,221.0,,83.0,81.0,87.0,,NE,0.0,NNE,1.0,NE,1.0,,,3.0,6.0,4.0,,7.0,,
269,19050919.0,614.0,602.0,603.0,,264.0,330.0,279.0,,320.0,222.0,213.0,178.0,194.0,,83.0,48.0,69.0,,NE,1.0,E,2.0,NNE,1.0,,,3.0,5.0,1.0,,9.0,,
270,19050920.0,614.0,590.0,597.0,,261.0,335.0,278.0,,335.0,239.0,211.0,216.0,202.0,,84.0,56.0,73.0,,E,1.0,S,0.0,N,2.0,,,1.0,4.0,2.0,,1.0,,
271,19050921.0,609.0,604.0,601.0,,267.0,302.0,272.0,,336.0,225.0,223.0,209.0,214.0,,85.0,66.0,80.0,,NE,0.0,NE,3.0,NE,0.0,,,1.0,6.0,2.0,,,,
272,19050922.0,618.0,602.0,601.0,,272.0,329.0,265.0,,325.0,236.0,216.0,189.0,203.0,,80.0,51.0,79.0,,E,5.0,SE,1.0,NE,0.0,,,2.0,5.0,7.0,,,,
273,19050923.0,618.0,605.0,604.0,,266.0,280.0,268.0,,344.0,236.0,220.0,213.0,216.0,,85.0,76.0,83.0,,E,2.0,NNE,0.0,NE,0.0,,,1.0,8.0,1.0,,87.0,,
274,19050924.0,613.0,598.0,595.0,,266.0,296.0,271.0,,320.0,236.0,208.0,180.0,197.0,,80.0,58.0,74.0,,E,4.0,NNE,0.0,NE,0.0,,,2.0,6.0,1.0,,36.0,,
275,19050925.0,618.0,605.0,608.0,,265.0,325.0,272.0,,325.0,235.0,204.0,214.0,198.0,,79.0,59.0,73.0,,E,0.0,ESE,2.0,NE,1.0,,,1.0,6.0,7.0,,24.0,,
276,19050926.0,624.0,608.0,611.0,,263.0,327.0,275.0,,337.0,234.0,212.0,186.0,193.0,,83.0,50.0,71.0,,SE,3.0,E,2.0,NE,0.0,,,1.0,5.0,3.0,,64.0,,
277,19050927.0,626.0,612.0,609.0,,256.0,305.0,270.0,,329.0,220.0,195.0,186.0,199.0,,80.0,57.0,76.0,,ENE,2.0,ESE,4.0,NE,0.0,,,2.0,5.0,4.0,,,,
278,19050928.0,622.0,599.0,601.0,,263.0,331.0,277.0,,313.0,231.0,204.0,168.0,189.0,,80.0,45.0,69.0,,E,3.0,ENE,2.0,NE,0.0,,,1.0,4.0,1.0,,,,
279,19050929.0,618.0,601.0,601.0,,262.0,315.0,275.0,,335.0,230.0,202.0,197.0,216.0,,80.0,57.0,80.0,,NNE,3.0,NE,2.0,NNE,0.0,,,1.0,5.0,3.0,,,,
280,19050930.0,622.0,607.0,605.0,,263.0,325.0,277.0,,325.0,229.0,204.0,187.0,193.0,,80.0,51.0,70.0,,ENE,3.0,E,4.0,NNE,4.0,,,1.0,5.0,2.0,,,,
281,,762.2266666666667,760.7533333333333,760.78,,26.313333333333333,30.936666666666667,27.23,,32.446666666666665,22.966666666666665,21.033333333333335,19.759999999999998,20.683333333333334,,82.26666666666667,60.166666666666664,76.8,,,2.1,,2.4,,0.7666666666666667,,,2.533333333333333,5.333333333333333,3.466666666666667,,38.6,,
282,19051001.0,623.0,611.0,607.0,,265.0,322.0,281.0,,330.0,227.0,206.0,173.0,181.0,,80.0,49.0,65.0,,E,3.0,ESE,4.0,NE,5.0,,,4.0,5.0,0.0,,,,
283,19051002.0,620.0,605.0,607.0,,264.0,315.0,275.0,,329.0,236.0,209.0,197.0,194.0,,82.0,57.0,71.0,,E,2.0,E,3.0,NNE,1.0,,,2.0,6.0,3.0,,,,
284,19051003.0,618.0,603.0,601.0,,261.0,333.0,277.0,,323.0,217.0,205.0,188.0,199.0,,82.0,50.0,72.0,,E,1.0,E,1.0,NNE,1.0,,,1.0,5.0,2.0,,2.0,,
285,19051004.0,623.0,605.0,609.0,,269.0,336.0,280.0,,342.0,239.0,204.0,190.0,215.0,,77.0,49.0,77.0,,NNE,1.0,E,1.0,NNE,1.0,,,2.0,6.0,4.0,,,,
286,19051005.0,629.0,611.0,609.0,,266.0,292.0,276.0,,338.0,236.0,216.0,194.0,195.0,,97.0,64.0,71.0,,E,2.0,NNE,1.0,NNE,0.0,,,0.0,7.0,2.0,,,,
287,19051006.0,618.0,597.0,598.0,,271.0,275.0,269.0,,333.0,225.0,205.0,206.0,216.0,,77.0,76.0,82.0,,NNE,1.0,NE,1.0,NNE,1.0,,,3.0,5.0,6.0,,23.0,,
288,19051007.0,608.0,597.0,595.0,,268.0,243.0,264.0,,305.0,222.0,216.0,207.0,213.0,,83.0,91.0,83.0,,ENE,0.0,NNE,0.0,NNE,0.0,,,3.0,6.0,5.0,,96.0,,
289,19051008.0,612.0,598.0,599.0,,264.0,323.0,281.0,,313.0,236.0,203.0,170.0,208.0,,79.0,48.0,73.0,,ENE,1.0,ENE,5.0,NNE,1.0,,,2.0,4.0,0.0,,92.0,,
290,19051009.0,618.0,597.0,599.0,,263.0,330.0,281.0,,328.0,229.0,210.0,174.0,220.0,,82.0,46.0,78.0,,E,3.0,ESE,1.0,NNE,1.0,,,4.0,5.0,1.0,,1.0,,
291,19051010.0,618.0,597.0,601.0,,267.0,308.0,276.0,,338.0,233.0,203.0,208.0,197.0,,78.0,63.0,72.0,,ENE,3.0,NNE,2.0,NNE,2.0,,,1.0,6.0,3.0,,,,
292,19051011.0,614.0,600.0,601.0,,266.0,310.0,272.0,,324.0,230.0,200.0,213.0,232.0,,77.0,63.0,87.0,,E,1.0,ENE,0.0,NNE,0.0,,,1.0,5.0,5.0,,10.0,,
293,19051012.0,620.0,603.0,603.0,,265.0,312.0,269.0,,318.0,229.0,208.0,193.0,218.0,,81.0,57.0,83.0,,NE,5.0,NNE,5.0,NNE,3.0,,,3.0,5.0,2.0,,,,
294,19051013.0,626.0,612.0,613.0,,261.0,306.0,272.0,,322.0,225.0,199.0,179.0,218.0,,79.0,54.0,81.0,,NNE,1.0,NE,6.0,NE,1.0,,,1.0,4.0,3.0,,80.0,,
295,19051014.0,625.0,607.0,599.0,,255.0,291.0,268.0,,315.0,227.0,201.0,222.0,200.0,,83.0,74.0,64.0,,NNE,0.0,NNE,0.0,NNE,0.0,,,8.0,5.0,5.0,,1.0,,
296,19051015.0,617.0,596.0,595.0,,261.0,313.0,258.0,,307.0,233.0,207.0,215.0,223.0,,82.0,63.0,90.0,,NNE,1.0,ENE,1.0,NNE,0.0,,,4.0,5.0,9.0,,10.0,,
297,19051016.0,607.0,594.0,593.0,,273.0,304.0,242.0,,322.0,229.0,209.0,192.0,203.0,,77.0,59.0,91.0,,NNE,3.0,NE,2.0,NNE,0.0,,,5.0,5.0,5.0,,130.0,,
298,19051017.0,610.0,603.0,596.0,,268.0,306.0,261.0,,328.0,238.0,218.0,211.0,221.0,,83.0,65.0,88.0,,E,3.0,NE,4.0,NNE,1.0,,,3.0,9.0,7.0,,147.0,,
299,19051018.0,616.0,602.0,602.0,,266.0,315.0,265.0,,323.0,234.0,216.0,191.0,214.0,,83.0,55.0,83.0,,E,1.0,ENE,3.0,NNE,0.0,,,1.0,6.0,5.0,,15.0,,
300,19051019.0,618.0,604.0,611.0,,263.0,323.0,270.0,,323.0,237.0,204.0,169.0,219.0,,80.0,47.0,83.0,,ENE,5.0,NNE,3.0,NE,1.0,,,1.0,4.0,1.0,,,,
301,19051020.0,628.0,607.0,614.0,,264.0,316.0,265.0,,324.0,232.0,213.0,169.0,199.0,,83.0,49.0,77.0,,NE,2.0,NNE,4.0,NE,3.0,,,2.0,5.0,4.0,,,,
302,19051021.0,624.0,608.0,610.0,,264.0,298.0,265.0,,318.0,228.0,199.0,182.0,191.0,,78.0,59.0,74.0,,NNE,4.0,NNE,5.0,NE,1.0,,,3.0,6.0,2.0,,,,
303,19051022.0,625.0,606.0,606.0,,248.0,281.0,265.0,,307.0,204.0,203.0,191.0,210.0,,87.0,68.0,82.0,,NE,2.0,NE,5.0,NE,0.0,,,5.0,8.0,4.0,,8.0,,
304,19051023.0,630.0,611.0,615.0,,255.0,320.0,276.0,,320.0,223.0,213.0,188.0,223.0,,88.0,53.0,81.0,,NNE,1.0,NE,3.0,NE,1.0,,,5.0,7.0,3.0,,,,
305,19051024.0,635.0,619.0,616.0,,274.0,254.0,266.0,,330.0,242.0,209.0,217.0,222.0,,77.0,90.0,85.0,,E,4.0,NNE,5.0,NNE,2.0,,,4.0,6.0,3.0,,63.0,,
306,19051025.0,622.0,602.0,603.0,,255.0,299.0,268.0,,325.0,237.0,215.0,211.0,226.0,,89.0,67.0,86.0,,ENE,3.0,NE,1.0,NE,0.0,,,7.0,6.0,3.0,,,,
307,19051026.0,610.0,588.0,589.0,,258.0,321.0,271.0,,321.0,234.0,201.0,172.0,227.0,,82.0,49.0,85.0,,NNE,5.0,E,2.0,NE,3.0,,,4.0,6.0,4.0,,,,
308,19051027.0,606.0,589.0,593.0,,264.0,329.0,263.0,,322.0,234.0,223.0,161.0,227.0,,87.0,43.0,89.0,,ENE,4.0,E,1.0,NNE,2.0,,,2.0,4.0,5.0,,,,
309,19051028.0,618.0,598.0,601.0,,249.0,325.0,275.0,,335.0,229.0,193.0,175.0,218.0,,83.0,48.0,80.0,,NNE,3.0,SE,4.0,NE,0.0,,,5.0,4.0,6.0,,,,
310,19051029.0,622.0,612.0,606.0,,260.0,299.0,265.0,,328.0,222.0,202.0,197.0,224.0,,81.0,66.0,87.0,,NNE,3.0,NNE,4.0,NE,1.0,,,1.0,6.0,1.0,,,,
311,19051030.0,623.0,605.0,602.0,,237.0,300.0,264.0,,310.0,209.0,199.0,189.0,239.0,,91.0,60.0,93.0,,NE,0.0,NE,0.0,N,1.0,,,6.0,8.0,1.0,,,,
312,19051031.0,614.0,596.0,596.0,,261.0,298.0,265.0,,314.0,211.0,209.0,208.0,218.0,,83.0,66.0,85.0,,NE,0.0,NE,1.0,NE,2.0,,,1.0,7.0,2.0,,5.0,,
313,,761.9258064516129,760.2677419354839,760.2870967741935,,26.20967741935484,30.635483870967743,26.919354838709676,,32.306451612903224,22.861290322580647,20.703225806451613,19.2,21.32258064516129,,82.29032258064517,59.61290322580645,80.58064516129032,,,2.193548387096774,,2.5161290322580645,,1.1290322580645162,,,3.032258064516129,5.67741935483871,3.4193548387096775,,68.3,,
314,19051101.0,612.0,594.0,597.0,,254.0,318.0,273.0,,324.0,230.0,211.0,178.0,234.0,,88.0,51.0,87.0,,NNE,5.0,NNE,6.0,NE,0.0,,,3.0,5.0,3.0,,11.0,,
315,19051102.0,610.0,601.0,602.0,,260.0,270.0,267.0,,328.0,214.0,209.0,217.0,227.0,,84.0,82.0,87.0,,NNE,0.0,NE,0.0,N,1.0,,,1.0,7.0,2.0,,,,
316,19051103.0,614.0,588.0,592.0,,265.0,298.0,268.0,,298.0,227.0,226.0,222.0,222.0,,88.0,71.0,85.0,,NE,1.0,NNE,2.0,NE,2.0,,,3.0,8.0,7.0,,27.0,,
317,19051104.0,614.0,597.0,594.0,,256.0,285.0,273.0,,326.0,238.0,218.0,226.0,227.0,,90.0,78.0,84.0,,NNE,6.0,E,1.0,ENE,0.0,,,9.0,5.0,6.0,,150.0,,
318,19051105.0,608.0,592.0,593.0,,265.0,310.0,270.0,,290.0,241.0,206.0,186.0,237.0,,90.0,55.0,90.0,,E,3.0,NNE,4.0,NNE,1.0,,,2.0,6.0,1.0,,8.0,,
319,19051106.0,604.0,586.0,585.0,,254.0,318.0,272.0,,326.0,238.0,211.0,181.0,238.0,,88.0,52.0,89.0,,NNE,2.0,ENE,2.0,NNE,0.0,,,3.0,4.0,0.0,,,,
320,19051107.0,603.0,586.0,585.0,,263.0,303.0,272.0,,329.0,239.0,219.0,187.0,232.0,,86.0,58.0,87.0,,NNE,2.0,NE,1.0,NE,0.0,,,4.0,6.0,0.0,,,,
321,19051108.0,603.0,585.0,585.0,,274.0,312.0,270.0,,318.0,238.0,195.0,207.0,239.0,,72.0,65.0,90.0,,NNE,2.0,NE,2.0,NNE,1.0,,,2.0,5.0,4.0,,,,
322,19051109.0,609.0,595.0,595.0,,274.0,286.0,270.0,,344.0,242.0,193.0,228.0,213.0,,71.0,78.0,80.0,,NNE,1.0,NNE,2.0,NE,5.0,,,2.0,8.0,3.0,,,,
323,19051110.0,607.0,587.0,589.0,,269.0,333.0,277.0,,325.0,229.0,210.0,161.0,233.0,,80.0,42.0,84.0,,NE,3.0,E,0.0,NNE,0.0,,,3.0,5.0,1.0,,75.0,,
324,19051111.0,605.0,588.0,583.0,,270.0,322.0,280.0,,334.0,244.0,211.0,183.0,233.0,,80.0,51.0,83.0,,NE,4.0,ESE,1.0,NNE,0.0,,,1.0,6.0,0.0,,,,
325,19051112.0,611.0,595.0,591.0,,274.0,314.0,277.0,,330.0,248.0,215.0,194.0,233.0,,79.0,56.0,84.0,,E,4.0,NNE,3.0,NNE,6.0,,,4.0,5.0,2.0,,,,
326,19051113.0,607.0,591.0,591.0,,266.0,280.0,272.0,,320.0,246.0,202.0,215.0,218.0,,78.0,77.0,81.0,,NE,3.0,NNE,1.0,NE,0.0,,,6.0,8.0,3.0,,,,
327,19051114.0,601.0,591.0,594.0,,271.0,298.0,268.0,,316.0,249.0,217.0,190.0,241.0,,81.0,61.0,92.0,,NE,0.0,NNE,5.0,NE,1.0,,,2.0,6.0,8.0,,16.0,,
328,19051115.0,617.0,608.0,609.0,,264.0,316.0,274.0,,324.0,242.0,194.0,183.0,219.0,,76.0,53.0,81.0,,ENE,2.0,E,3.0,NE,0.0,,,6.0,5.0,6.0,,,,
329,19051116.0,629.0,620.0,623.0,,274.0,306.0,261.0,,320.0,236.0,213.0,185.0,223.0,,78.0,56.0,89.0,,NNE,3.0,NNE,5.0,NNE,1.0,,,6.0,5.0,3.0,,,,
330,19051117.0,627.0,611.0,610.0,,244.0,301.0,266.0,,313.0,216.0,210.0,196.0,230.0,,92.0,62.0,89.0,,NNE,0.0,NNE,6.0,NNE,0.0,,,8.0,6.0,6.0,,,,
331,19051118.0,624.0,609.0,611.0,,260.0,265.0,246.0,,311.0,222.0,206.0,236.0,195.0,,82.0,92.0,85.0,,NNE,2.0,NNE,0.0,ENE,0.0,,,6.0,8.0,8.0,,12.0,,
332,19051119.0,626.0,617.0,613.0,,257.0,268.0,258.0,,308.0,237.0,219.0,199.0,217.0,,90.0,76.0,88.0,,ENE,2.0,N,3.0,NNE,1.0,,,5.0,8.0,8.0,,29.0,,
333,19051120.0,627.0,608.0,610.0,,260.0,323.0,270.0,,293.0,220.0,204.0,167.0,223.0,,82.0,46.0,84.0,,NE,3.0,NNE,3.0,NE,1.0,,,3.0,6.0,2.0,,160.0,,
334,19051121.0,628.0,609.0,613.0,,263.0,303.0,257.0,,327.0,244.0,200.0,189.0,225.0,,79.0,59.0,92.0,,NE,0.0,NE,0.0,S,0.0,,,3.0,6.0,7.0,,,,
335,19051122.0,628.0,610.0,616.0,,264.0,308.0,265.0,,310.0,242.0,209.0,172.0,226.0,,82.0,52.0,88.0,,E,0.0,NNE,4.0,NE,2.0,,,3.0,5.0,4.0,,1.0,,
336,19051123.0,634.0,622.0,619.0,,263.0,266.0,268.0,,318.0,235.0,215.0,227.0,226.0,,85.0,89.0,86.0,,NE,3.0,NE,2.0,NE,2.0,,,5.0,6.0,4.0,,,,
337,19051124.0,628.0,615.0,611.0,,260.0,282.0,255.0,,322.0,234.0,200.0,214.0,224.0,,80.0,75.0,93.0,,E,5.0,NE,2.0,NE,0.0,,,3.0,8.0,5.0,,8.0,,
338,19051125.0,624.0,599.0,599.0,,261.0,294.0,260.0,,304.0,241.0,207.0,204.0,231.0,,82.0,67.0,93.0,,NE,2.0,E,3.0,NE,0.0,,,3.0,7.0,4.0,,60.0,,
339,19051126.0,605.0,592.0,603.0,,255.0,313.0,237.0,,305.0,227.0,201.0,191.0,201.0,,83.0,56.0,92.0,,NE,2.0,E,4.0,N,0.0,,,3.0,6.0,10.0,,15.0,,
340,19051127.0,620.0,603.0,596.0,,264.0,292.0,264.0,,314.0,238.0,201.0,198.0,229.0,,79.0,65.0,89.0,,NE,4.0,NNE,3.0,NNE,1.0,,,4.0,7.0,1.0,,635.0,,
341,19051128.0,612.0,594.0,595.0,,248.0,315.0,258.0,,301.0,228.0,205.0,207.0,219.0,,88.0,60.0,89.0,,NE,0.0,ENE,1.0,NE,2.0,,,6.0,5.0,8.0,,,,
342,19051129.0,614.0,603.0,600.0,,258.0,290.0,266.0,,340.0,240.0,223.0,213.0,232.0,,90.0,71.0,89.0,,NE,2.0,NE,3.0,NNE,3.0,,,6.0,5.0,3.0,,13.0,,
343,19051130.0,610.0,593.0,595.0,,242.0,291.0,257.0,,309.0,228.0,207.0,196.0,227.0,,92.0,65.0,93.0,,NNE,1.0,NE,5.0,NNE,2.0,,,7.0,6.0,4.0,,,,
344,,761.5366666666666,759.9633333333334,759.9966666666667,,26.173333333333336,29.93333333333333,26.57,,31.756666666666668,23.509999999999998,20.856666666666666,19.84,22.580000000000002,,83.16666666666667,64.03333333333333,87.43333333333334,,,2.2333333333333334,,2.566666666666667,,1.0666666666666667,,,4.066666666666666,6.1,4.1,,122.0,,
345,19051201.0,610.0,595.0,596.0,,254.0,306.0,270.0,,322.0,228.0,194.0,199.0,235.0,,80.0,61.0,89.0,,NE,5.0,ENE,3.0,NNE,4.0,,,1.0,6.0,3.0,,187.0,,
346,19051202.0,620.0,612.0,614.0,,245.0,269.0,250.0,,311.0,237.0,213.0,224.0,218.0,,93.0,85.0,93.0,,NE,8.0,NE,0.0,ENE,0.0,,,3.0,6.0,6.0,,,,
347,19051203.0,623.0,615.0,616.0,,251.0,296.0,264.0,,286.0,237.0,207.0,195.0,219.0,,87.0,63.0,85.0,,NE,0.0,NNE,5.0,NNE,2.0,,,6.0,5.0,6.0,,9.0,,
348,19051204.0,626.0,620.0,612.0,,254.0,308.0,243.0,,302.0,232.0,204.0,196.0,207.0,,85.0,59.0,91.0,,NNE,0.0,NE,3.0,NE,0.0,,,5.0,6.0,8.0,,,,
349,19051205.0,622.0,604.0,602.0,,253.0,256.0,250.0,,322.0,235.0,210.0,204.0,214.0,,88.0,84.0,91.0,,NE,2.0,NE,1.0,NE,0.0,,,6.0,8.0,8.0,,24.0,,
350,19051206.0,623.0,606.0,604.0,,243.0,262.0,240.0,,272.0,229.0,203.0,214.0,212.0,,90.0,85.0,96.0,,NE,1.0,NE,2.0,NNE,0.0,,,9.0,9.0,8.0,,85.0,,
351,19051207.0,612.0,604.0,605.0,,252.0,260.0,251.0,,272.0,238.0,218.0,206.0,229.0,,92.0,82.0,97.0,,NE,0.0,NNE,0.0,NE,0.0,,,6.0,9.0,7.0,,145.0,,
352,19051208.0,612.0,597.0,601.0,,255.0,283.0,254.0,,297.0,221.0,228.0,229.0,207.0,,94.0,80.0,86.0,,NNE,1.0,NE,4.0,NE,2.0,,,6.0,8.0,5.0,,116.0,,
353,19051209.0,614.0,606.0,598.0,,250.0,277.0,252.0,,287.0,238.0,187.0,201.0,212.0,,80.0,73.0,88.0,,NNE,0.0,NNE,5.0,NNE,0.0,,,10.0,8.0,7.0,,527.0,,
354,19051210.0,610.0,599.0,597.0,,244.0,276.0,263.0,,278.0,230.0,195.0,228.0,208.0,,86.0,83.0,82.0,,NNE,0.0,NNW,3.0,NE,0.0,,,2.0,8.0,6.0,,11.0,,
355,19051211.0,610.0,597.0,594.0,,255.0,258.0,248.0,,312.0,219.0,209.0,188.0,215.0,,86.0,76.0,92.0,,NE,0.0,NNE,1.0,NNW,0.0,,,7.0,10.0,7.0,,50.0,,
356,19051212.0,611.0,593.0,591.0,,232.0,286.0,263.0,,312.0,220.0,202.0,205.0,212.0,,96.0,70.0,83.0,,NE,0.0,NE,3.0,NE,1.0,,,8.0,7.0,5.0,,455.0,,
357,19051213.0,610.0,598.0,597.0,,247.0,308.0,258.0,,288.0,227.0,195.0,206.0,221.0,,84.0,62.0,90.0,,NE,0.0,NE,4.0,NE,2.0,,,8.0,3.0,5.0,,223.0,,
358,19051214.0,617.0,611.0,601.0,,252.0,318.0,258.0,,310.0,214.0,205.0,191.0,213.0,,86.0,55.0,86.0,,NE,0.0,NNE,4.0,NE,0.0,,,0.0,2.0,2.0,,1.0,,
359,19051215.0,618.0,611.0,612.0,,250.0,260.0,237.0,,320.0,222.0,208.0,219.0,206.0,,88.0,88.0,95.0,,NE,0.0,NE,0.0,NE,0.0,,,4.0,8.0,10.0,,1.0,,
360,19051216.0,628.0,617.0,620.0,,232.0,263.0,244.0,,281.0,222.0,195.0,219.0,206.0,,92.0,86.0,91.0,,NE,1.0,NE,0.0,NNE,0.0,,,10.0,8.0,10.0,,359.0,,
361,19051217.0,630.0,617.0,621.0,,235.0,296.0,252.0,,288.0,221.0,199.0,209.0,216.0,,92.0,67.0,91.0,,NNE,0.0,NE,2.0,NE,2.0,,,9.0,6.0,3.0,,66.0,,
362,19051218.0,629.0,615.0,617.0,,255.0,294.0,258.0,,298.0,219.0,209.0,203.0,219.0,,86.0,66.0,89.0,,NE,2.0,NE,3.0,NE,1.0,,,3.0,2.0,2.0,,33.0,,
363,19051219.0,629.0,618.0,617.0,,253.0,290.0,258.0,,302.0,230.0,208.0,189.0,225.0,,87.0,63.0,91.0,,NE,0.0,NE,6.0,NE,2.0,,,6.0,6.0,4.0,,54.0,,
364,19051220.0,633.0,617.0,617.0,,250.0,296.0,260.0,,306.0,230.0,206.0,185.0,217.0,,87.0,60.0,87.0,,NE,0.0,NNE,5.0,NNE,3.0,,,8.0,3.0,6.0,,16.0,,
365,19051221.0,628.0,617.0,617.0,,263.0,294.0,257.0,,298.0,233.0,196.0,198.0,225.0,,77.0,65.0,92.0,,NE,2.0,NNE,5.0,NE,2.0,,,6.0,6.0,6.0,,3.0,,
366,19051222.0,620.0,612.0,611.0,,233.0,302.0,256.0,,296.0,219.0,194.0,191.0,222.0,,91.0,60.0,91.0,,NE,0.0,N,5.0,NE,2.0,,,7.0,6.0,6.0,,2.0,,
367,19051223.0,625.0,613.0,607.0,,254.0,287.0,250.0,,308.0,228.0,200.0,207.0,210.0,,83.0,70.0,89.0,,NE,3.0,NNE,5.0,NE,1.0,,,4.0,6.0,6.0,,45.0,,
368,19051224.0,627.0,616.0,610.0,,240.0,278.0,240.0,,288.0,226.0,203.0,208.0,210.0,,91.0,75.0,95.0,,E,0.0,NE,4.0,NE,0.0,,,8.0,7.0,10.0,,184.0,,
369,19051225.0,629.0,613.0,612.0,,254.0,282.0,246.0,,282.0,230.0,188.0,218.0,201.0,,79.0,77.0,87.0,,NE,0.0,NE,2.0,NNE,0.0,,,10.0,10.0,10.0,,185.0,,
370,19051226.0,625.0,613.0,613.0,,247.0,296.0,255.0,,284.0,229.0,204.0,201.0,218.0,,88.0,65.0,90.0,,NE,1.0,NE,4.0,NE,1.0,,,4.0,5.0,6.0,,96.0,,
371,19051227.0,638.0,624.0,618.0,,227.0,258.0,230.0,,298.0,217.0,187.0,186.0,189.0,,92.0,76.0,91.0,,NE,4.0,NNE,2.0,N,1.0,,,10.0,10.0,8.0,,20.0,,
