,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 26_level_1
37,19360206.0,622.0,610.0,608.0,244.0,308.0,266.0,307.0,214.0,200.0,188.0,189.0,88.0,56.0,73.0,E,1.0,NE,3.0,E,2.0,7.0,4.0,1.0,0.0,,
38,19360207.0,630.0,621.0,620.0,259.0,311.0,265.0,313.0,216.0,195.0,176.0,193.0,79.0,52.0,75.0,ENE,2.0,ENE,3.0,E,1.0,1.0,1.0,1.0,0.0,,
39,19360208.0,630.0,618.0,619.0,250.0,287.0,260.0,319.0,209.0,204.0,187.0,198.0,87.0,64.0,79.0,ENE,1.0,ENE,1.0,ENE,1.0,1.0,9.0,3.0,0.0,,
40,19360209.0,628.0,617.0,616.0,244.0,292.0,257.0,304.0,201.0,200.0,190.0,215.0,88.0,63.0,88.0,NE,1.0,ENE,2.0,ENE,1.0,1.0,3.0,5.0,5.0,,
41,19360210.0,624.0,614.0,614.0,240.0,278.0,260.0,307.0,209.0,193.0,185.0,190.0,87.0,67.0,76.0,NE,1.0,NNE,2.0,ENE,1.0,5.0,8.0,2.0,0.0,,
42,19360211.0,620.0,616.0,614.0,244.0,310.0,271.0,297.0,199.0,200.0,178.0,222.0,88.0,53.0,83.0,ENE,1.0,E,3.0,E,2.0,2.0,6.0,3.0,0.0,,
43,19360212.0,624.0,615.0,613.0,243.0,315.0,265.0,322.0,196.0,197.0,193.0,193.0,88.0,56.0,75.0,E,1.0,ENE,2.0,NE,1.0,1.0,2.0,1.0,0.0,,
44,19360213.0,629.0,624.0,624.0,239.0,276.0,246.0,320.0,204.0,207.0,207.0,216.0,94.0,76.0,94.0,ENE,1.0,NE,3.0,NE,1.0,2.0,9.0,9.0,7.0,,
45,19360214.0,630.0,626.0,620.0,234.0,259.0,252.0,302.0,221.0,205.0,220.0,205.0,96.0,89.0,86.0,E,1.0,E,2.0,NE,1.0,9.0,10.0,4.0,82.0,,
46,19360215.0,628.0,620.0,617.0,257.0,295.0,258.0,285.0,221.0,204.0,176.0,171.0,83.0,58.0,70.0,ENE,1.0,NE,3.0,E,2.0,5.0,3.0,1.0,68.0,,
47,19360216.0,625.0,614.0,611.0,239.0,301.0,260.0,304.0,201.0,200.0,184.0,181.0,91.0,58.0,73.0,ENE,1.0,ENE,3.0,ENE,1.0,6.0,5.0,1.0,3.0,,
48,19360217.0,623.0,617.0,610.0,245.0,279.0,254.0,307.0,201.0,203.0,196.0,202.0,89.0,70.0,84.0,ENE,1.0,NE,1.0,Calm,0.0,1.0,10.0,9.0,0.0,,
49,19360218.0,622.0,612.0,602.0,257.0,300.0,266.0,292.0,222.0,211.0,203.0,206.0,86.0,64.0,80.0,NE,1.0,NE,1.0,NNE,1.0,6.0,7.0,1.0,0.0,,
50,19360219.0,617.0,612.0,604.0,237.0,299.0,263.0,303.0,201.0,203.0,205.0,208.0,93.0,65.0,82.0,NNE,1.0,N,1.0,N,1.0,2.0,5.0,1.0,0.0,,
51,19360220.0,625.0,608.0,604.0,247.0,297.0,262.0,303.0,194.0,221.0,200.0,197.0,96.0,64.0,78.0,N,1.0,NW,3.0,N,1.0,1.0,4.0,4.0,0.0,,
52,19360221.0,614.0,609.0,603.0,242.0,310.0,269.0,298.0,231.0,196.0,165.0,181.0,88.0,49.0,69.0,ENE,1.0,NE,2.0,N,2.0,1.0,2.0,6.0,6.0,,
53,19360222.0,622.0,616.0,613.0,250.0,309.0,267.0,319.0,229.0,216.0,179.0,186.0,92.0,53.0,72.0,E,1.0,NNE,3.0,ENE,1.0,8.0,7.0,6.0,64.0,,
54,19360223.0,625.0,616.0,605.0,256.0,309.0,267.0,312.0,220.0,212.0,203.0,194.0,87.0,61.0,75.0,ENE,1.0,NE,2.0,ENE,1.0,7.0,2.0,1.0,0.0,,
55,19360224.0,617.0,615.0,608.0,254.0,298.0,259.0,318.0,231.0,196.0,186.0,185.0,82.0,60.0,75.0,NE,1.0,NE,2.0,ENE,1.0,7.0,6.0,2.0,0.0,,
56,19360225.0,624.0,617.0,612.0,236.0,279.0,238.0,309.0,226.0,196.0,192.0,191.0,90.0,69.0,87.0,E,1.0,NNE,2.0,ENE,1.0,7.0,8.0,9.0,5.0,,
57,19360226.0,618.0,611.0,603.0,248.0,286.0,256.0,304.0,212.0,177.0,163.0,173.0,77.0,57.0,71.0,NE,1.0,NNE,2.0,NE,1.0,3.0,9.0,1.0,29.0,,
58,19360227.0,603.0,605.0,603.0,229.0,300.0,264.0,297.0,184.0,180.0,147.0,179.0,88.0,47.0,70.0,NE,1.0,ENE,1.0,NE,1.0,5.0,3.0,4.0,1.0,,
59,19360228.0,613.0,609.0,608.0,238.0,294.0,259.0,313.0,181.0,166.0,166.0,164.0,76.0,54.0,66.0,NE,1.0,ENE,2.0,ENE,1.0,1.0,5.0,1.0,8.0,,
60,19360229.0,617.0,610.0,608.0,232.0,287.0,260.0,304.0,187.0,189.0,183.0,179.0,89.0,63.0,72.0,ENE,1.0,NE,2.0,NE,1.0,1.0,8.0,4.0,0.0,,
61,,762.1464285714286,761.3482758620689,760.9758620689655,24.589655172413792,29.61034482758621,26.044827586206896,30.779310344827586,21.05862068965517,20.04137931034483,18.67241379310345,19.289655172413795,87.34482758620689,60.86206896551724,77.27586206896552,,1.103448275862069,,2.0689655172413794,,1.1379310344827587,3.8620689655172415,5.413793103448276,3.0344827586206895,28.6,,
62,19360301.0,611.0,602.0,595.0,259.0,310.0,261.0,307.0,215.0,204.0,192.0,190.0,82.0,57.0,76.0,NNE,1.0,ENE,2.0,NE,1.0,7.0,4.0,1.0,2.0,,
63,19360302.0,619.0,598.0,595.0,252.0,324.0,279.0,312.0,201.0,201.0,221.0,206.0,84.0,61.0,73.0,E,2.0,NE,1.0,ENE,2.0,1.0,4.0,6.0,0.0,,
64,19360303.0,614.0,601.0,598.0,254.0,282.0,272.0,330.0,221.0,206.0,230.0,218.0,85.0,81.0,81.0,ESE,2.0,E,2.0,ENE,2.0,1.0,9.0,4.0,0.0,,
65,19360304.0,629.0,609.0,602.0,254.0,279.0,277.0,332.0,233.0,219.0,210.0,213.0,91.0,75.0,77.0,E,1.0,E,2.0,E,1.0,6.0,9.0,3.0,91.0,,
66,19360305.0,617.0,605.0,595.0,258.0,309.0,272.0,316.0,229.0,223.0,222.0,214.0,90.0,67.0,80.0,ENE,1.0,ENE,2.0,ENE,1.0,2.0,6.0,5.0,6.0,,
67,19360306.0,618.0,606.0,598.0,245.0,312.0,274.0,319.0,219.0,221.0,185.0,205.0,97.0,55.0,75.0,Calm,0.0,E,3.0,ENE,1.0,9.0,2.0,5.0,49.0,,
68,19360307.0,607.0,598.0,594.0,251.0,297.0,272.0,319.0,211.0,211.0,200.0,202.0,89.0,64.0,75.0,ENE,1.0,E,3.0,E,1.0,1.0,9.0,5.0,0.0,,
69,19360308.0,615.0,606.0,604.0,255.0,324.0,284.0,317.0,222.0,201.0,188.0,181.0,83.0,52.0,63.0,E,1.0,ENE,3.0,ENE,1.0,2.0,5.0,3.0,0.0,,
70,19360309.0,624.0,614.0,625.0,248.0,314.0,269.0,331.0,214.0,211.0,186.0,204.0,91.0,54.0,77.0,E,1.0,NE,3.0,NE,1.0,8.0,4.0,1.0,3.0,,
71,19360310.0,632.0,622.0,610.0,250.0,282.0,268.0,323.0,212.0,208.0,226.0,212.0,88.0,79.0,81.0,E,1.0,ENE,1.0,NE,3.0,9.0,9.0,7.0,0.0,,
72,19360311.0,622.0,613.0,607.0,254.0,304.0,269.0,297.0,216.0,213.0,206.0,204.0,89.0,64.0,77.0,NE,1.0,NNE,1.0,ENE,1.0,8.0,7.0,9.0,95.0,,
73,19360312.0,605.0,598.0,594.0,242.0,304.0,263.0,317.0,204.0,200.0,220.0,217.0,89.0,68.0,85.0,E,1.0,NE,1.0,E,1.0,1.0,8.0,2.0,0.0,,
74,19360313.0,614.0,604.0,599.0,263.0,319.0,278.0,319.0,222.0,215.0,197.0,212.0,85.0,56.0,77.0,E,1.0,ENE,2.0,E,1.0,2.0,7.0,9.0,0.0,,
75,19360314.0,623.0,608.0,605.0,258.0,296.0,276.0,331.0,229.0,219.0,236.0,202.0,89.0,77.0,74.0,ESE,1.0,NE,1.0,ENE,1.0,3.0,8.0,3.0,0.0,,
76,19360315.0,621.0,606.0,600.0,252.0,284.0,272.0,302.0,226.0,216.0,235.0,212.0,91.0,82.0,79.0,ENE,1.0,ENE,1.0,ENE,1.0,4.0,9.0,4.0,122.0,,
77,19360316.0,612.0,599.0,585.0,269.0,266.0,255.0,300.0,234.0,222.0,232.0,224.0,84.0,89.0,93.0,E,1.0,Calm,0.0,E,1.0,3.0,10.0,8.0,17.0,,
78,19360317.0,610.0,597.0,596.0,255.0,282.0,262.0,304.0,226.0,220.0,216.0,216.0,91.0,76.0,85.0,E,1.0,E,1.0,E,1.0,6.0,9.0,9.0,70.0,,
79,19360318.0,613.0,600.0,595.0,253.0,309.0,270.0,284.0,230.0,228.0,220.0,219.0,95.0,66.0,83.0,E,1.0,ENE,1.0,ENE,1.0,9.0,5.0,8.0,214.0,,
80,19360319.0,612.0,597.0,592.0,264.0,309.0,275.0,314.0,231.0,237.0,217.0,218.0,93.0,65.0,80.0,ENE,1.0,NE,3.0,ENE,1.0,3.0,5.0,9.0,176.0,,
