,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mbar),luchtdruk (in mbar),luchtdruk (in mbar),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,PP 8,PP 14,PP 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 29_level_1
46,19500215.0,608.0,605.0,590.0,,,,253.0,298.0,269.0,297.0,236.0,212.0,218.0,206.0,88.0,70.0,78.0,ENE,3.0,NE,2.0,NE,3.0,1.0,8.0,9.0,3.0,,
47,19500216.0,606.0,598.0,595.0,,,,257.0,297.0,269.0,300.0,246.0,209.0,212.0,212.0,85.0,68.0,80.0,NE,2.0,ENE,4.0,ENE,3.0,7.0,4.0,9.0,0.0,,
48,19500217.0,607.0,609.0,596.0,,,,241.0,280.0,265.0,299.0,234.0,212.0,225.0,204.0,95.0,80.0,79.0,E,0.0,ENE,1.0,ENE,3.0,10.0,10.0,9.0,261.0,,
49,19500218.0,615.0,612.0,599.0,,,,253.0,294.0,267.0,291.0,238.0,216.0,216.0,201.0,90.0,71.0,78.0,NE,2.0,ENE,3.0,ENE,3.0,2.0,8.0,2.0,24.0,,
50,19500219.0,618.0,615.0,603.0,,,,253.0,295.0,267.0,298.0,244.0,210.0,216.0,209.0,88.0,70.0,80.0,NNE,2.0,NE,2.0,NNE,2.0,8.0,4.0,4.0,0.0,,
51,19500220.0,617.0,613.0,600.0,,,,250.0,301.0,270.0,306.0,232.0,214.0,210.0,203.0,91.0,66.0,77.0,E,0.0,NE,3.0,NE,2.0,9.0,4.0,2.0,0.0,,
52,19500221.0,629.0,620.0,603.0,,,,247.0,291.0,265.0,308.0,234.0,214.0,194.0,204.0,92.0,65.0,79.0,E,0.0,NE,3.0,NE,1.0,6.0,7.0,4.0,0.0,,
53,19500222.0,617.0,612.0,598.0,,,,252.0,304.0,273.0,304.0,235.0,212.0,204.0,196.0,89.0,63.0,72.0,NE,1.0,NE,2.0,ENE,3.0,9.0,4.0,2.0,6.0,,
54,19500223.0,612.0,612.0,598.0,,,,247.0,290.0,261.0,305.0,237.0,212.0,213.0,207.0,92.0,71.0,82.0,ENE,2.0,ENE,3.0,ENE,3.0,3.0,2.0,2.0,8.0,,
55,19500224.0,621.0,621.0,608.0,,,,261.0,296.0,265.0,299.0,241.0,195.0,195.0,201.0,78.0,63.0,78.0,NE,2.0,NE,4.0,NE,1.0,1.0,9.0,7.0,19.0,,
56,19500225.0,614.0,613.0,602.0,,,,235.0,297.0,265.0,298.0,217.0,199.0,192.0,203.0,92.0,62.0,79.0,E,0.0,NNE,2.0,E,0.0,7.0,9.0,9.0,18.0,,
57,19500226.0,610.0,598.0,592.0,,,,241.0,305.0,273.0,304.0,227.0,206.0,193.0,200.0,92.0,59.0,74.0,E,0.0,NE,2.0,ENE,2.0,6.0,7.0,2.0,0.0,,
58,19500227.0,605.0,603.0,593.0,,,,265.0,311.0,276.0,314.0,238.0,222.0,198.0,193.0,86.0,59.0,70.0,E,2.0,ENE,4.0,ENE,3.0,5.0,4.0,6.0,0.0,,
59,19500228.0,614.0,608.0,604.0,,,,257.0,296.0,265.0,317.0,244.0,219.0,213.0,212.0,90.0,69.0,82.0,E,0.0,NE,4.0,NE,2.0,8.0,5.0,7.0,6.0,,
60,,760.6928571428572,760.2785714285715,759.125,,,,24.77857142857143,29.107142857142854,26.553571428571427,29.928571428571427,23.42142857142857,21.039285714285715,21.057142857142857,20.775,90.96428571428571,70.82142857142857,80.5,,0.7857142857142857,,2.5357142857142856,,2.0357142857142856,6.25,6.571428571428571,5.964285714285714,104.3,,
61,19500301.0,,,,156.0,146.0,131.0,248.0,295.0,265.0,304.0,237.0,211.0,212.0,193.0,91.0,68.0,75.0,NE,1.0,NE,3.0,NE,2.0,2.0,7.0,7.0,6.0,,
62,19500302.0,,,,147.0,144.0,130.0,245.0,292.0,265.0,303.0,228.0,200.0,190.0,197.0,87.0,63.0,77.0,SE,2.0,NE,3.0,NE,1.0,3.0,8.0,4.0,80.0,,
63,19500303.0,,,,142.0,144.0,131.0,229.0,293.0,270.0,296.0,211.0,191.0,197.0,194.0,92.0,65.0,73.0,E,0.0,ENE,2.0,NE,2.0,4.0,7.0,1.0,0.0,,
64,19500304.0,,,,144.0,142.0,132.0,244.0,310.0,273.0,301.0,223.0,202.0,198.0,192.0,89.0,59.0,71.0,ENE,1.0,NNE,3.0,NE,2.0,1.0,3.0,1.0,0.0,,
65,19500305.0,,,,146.0,138.0,124.0,250.0,286.0,265.0,313.0,228.0,202.0,192.0,189.0,86.0,66.0,74.0,NE,2.0,NNE,3.0,NE,2.0,4.0,8.0,9.0,1.0,,
66,19500306.0,,,,136.0,134.0,119.0,251.0,300.0,269.0,298.0,232.0,196.0,207.0,196.0,83.0,65.0,75.0,NE,2.0,NNW,2.0,NNE,2.0,1.0,4.0,3.0,0.0,,
67,19500307.0,,,,144.0,138.0,126.0,246.0,298.0,277.0,306.0,220.0,203.0,218.0,197.0,88.0,70.0,71.0,E,0.0,NE,2.0,NE,2.0,4.0,9.0,5.0,1.0,,
