,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,RH 21,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 27_level_1
74,19410314.0,617.0,605.0,598.0,269.0,306.0,264.0,302.0,236.0,224.0,211.0,221.0,85.0,65.0,,86.0,E,1.0,ENE,1.0,Calm,0.0,7.0,9.0,9.0,25.0,,
75,19410315.0,613.0,595.0,599.0,254.0,295.0,261.0,319.0,238.0,227.0,226.0,235.0,94.0,74.0,,90.0,Calm,0.0,ENE,2.0,Calm,0.0,8.0,10.0,9.0,140.0,,
76,19410316.0,617.0,604.0,600.0,259.0,307.0,275.0,322.0,238.0,234.0,219.0,216.0,94.0,66.0,,80.0,ENE,1.0,NE,1.0,ENE,1.0,8.0,7.0,9.0,46.0,,
77,19410317.0,627.0,618.0,618.0,262.0,309.0,274.0,324.0,232.0,214.0,197.0,195.0,85.0,59.0,,72.0,E,1.0,ENE,2.0,ENE,1.0,7.0,2.0,1.0,29.0,,
78,19410318.0,628.0,617.0,615.0,253.0,309.0,270.0,314.0,215.0,206.0,193.0,192.0,85.0,58.0,,72.0,ENE,1.0,NE,2.0,ENE,1.0,1.0,7.0,1.0,1.0,,
79,19410319.0,624.0,617.0,607.0,246.0,289.0,273.0,318.0,204.0,197.0,211.0,207.0,86.0,71.0,,77.0,Calm,0.0,ENE,1.0,ENE,1.0,1.0,9.0,3.0,0.0,,
80,19410320.0,617.0,606.0,600.0,259.0,314.0,272.0,312.0,219.0,214.0,194.0,200.0,86.0,56.0,,74.0,E,1.0,ENE,2.0,ENE,1.0,4.0,3.0,1.0,7.0,,
81,19410321.0,617.0,609.0,607.0,267.0,308.0,270.0,320.0,217.0,194.0,196.0,192.0,75.0,59.0,,72.0,ENE,2.0,ENE,1.0,ENE,1.0,1.0,9.0,6.0,0.0,,
82,19410322.0,616.0,610.0,606.0,262.0,317.0,274.0,320.0,214.0,210.0,200.0,195.0,83.0,57.0,,72.0,E,1.0,ENE,3.0,ENE,1.0,1.0,6.0,3.0,0.0,,
83,19410323.0,618.0,605.0,607.0,262.0,284.0,254.0,324.0,222.0,222.0,223.0,225.0,88.0,77.0,,93.0,E,1.0,ENE,2.0,Calm,0.0,9.0,10.0,10.0,10.0,,
84,19410324.0,612.0,597.0,590.0,257.0,282.0,259.0,296.0,239.0,227.0,228.0,210.0,73.0,80.0,,85.0,NE,1.0,ENE,1.0,ENE,1.0,10.0,9.0,8.0,178.0,,
85,19410325.0,608.0,594.0,592.0,249.0,299.0,265.0,293.0,235.0,224.0,228.0,220.0,96.0,73.0,,85.0,ENE,1.0,NNE,2.0,ENE,1.0,9.0,4.0,7.0,257.0,,
