,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 3,FF 3,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 28_level_1
35,19170204.0,617.0,607.0,597.0,252.0,262.0,234.0,282.0,237.0,222.0,228.0,207.0,93.0,88.0,97.0,,,N,2.0,NNE,2.0,N,1.0,6.0,4.0,4.0,18,,
36,19170205.0,618.0,613.0,605.0,232.0,292.0,263.0,292.0,222.0,198.0,241.0,236.0,94.0,80.0,93.0,,,NE,2.0,NE,2.0,NE,2.0,4.0,2.0,1.0,177,,
37,19170206.0,639.0,634.0,631.0,234.0,292.0,261.0,292.0,219.0,195.0,241.0,235.0,91.0,80.0,93.0,,,NE,1.0,NE,2.0,NE,2.0,1.0,3.0,2.0,2,,
38,19170207.0,619.0,611.0,601.0,251.0,292.0,260.0,295.0,203.0,198.0,216.0,204.0,84.0,71.0,82.0,,,NE,1.0,NE,3.0,NE,1.0,2.0,2.0,1.0,-,,
39,19170208.0,617.0,599.0,590.0,237.0,289.0,254.0,296.0,191.0,192.0,201.0,179.0,88.0,68.0,75.0,,,NE,1.0,NE,3.0,NE,1.0,1.0,1.0,1.0,2,,
40,19170209.0,604.0,600.0,596.0,263.0,294.0,261.0,298.0,239.0,170.0,179.0,175.0,67.0,59.0,70.0,,,NE,1.0,NE,3.0,NE,2.0,2.0,1.0,3.0,-,,
41,19170210.0,627.0,617.0,608.0,241.0,277.0,258.0,297.0,195.0,197.0,199.0,177.0,68.0,72.0,72.0,,,NE,1.0,NE,2.0,NE,2.0,2.0,1.0,2.0,-,,
42,19170211.0,616.0,608.0,600.0,216.0,288.0,251.0,290.0,166.0,186.0,214.0,202.0,97.0,73.0,85.0,,,NE,1.0,NE,3.0,NE,2.0,3.0,2.0,3.0,-,,
43,19170212.0,611.0,607.0,600.0,253.0,251.0,246.0,301.0,229.0,198.0,205.0,184.0,83.0,87.0,80.0,,,NE,1.0,NE,2.0,NE,2.0,1.0,4.0,5.0,7,,
44,19170213.0,613.0,606.0,559.0,243.0,253.0,233.0,309.0,196.0,197.0,208.0,190.0,88.0,87.0,90.0,,,NE,1.0,NE,2.0,NE,1.0,2.0,6.0,6.0,2,,
45,19170214.0,612.0,607.0,600.0,233.0,265.0,246.0,285.0,188.0,201.0,220.0,203.0,95.0,85.0,88.0,,,NE,1.0,NE,1.0,NE,1.0,4.0,4.0,6.0,3,,
46,19170215.0,620.0,604.0,591.0,232.0,238.0,238.0,278.0,188.0,184.0,206.0,206.0,88.0,94.0,94.0,,,NE,1.0,NE,1.0,NE,3.0,4.0,6.0,3.0,6,,
47,19170216.0,628.0,607.0,598.0,227.0,292.0,259.0,297.0,177.0,196.0,205.0,195.0,96.0,68.0,79.0,,,NE,1.0,NE,3.0,NE,2.0,6.0,1.0,1.0,22,,
48,19170217.0,611.0,606.0,596.0,243.0,286.0,253.0,292.0,206.0,207.0,219.0,185.0,91.0,75.0,77.0,,,NE,1.0,NE,3.0,NE,2.0,1.0,1.0,2.0,5,,
49,19170218.0,623.0,615.0,615.0,242.0,284.0,252.0,288.0,196.0,196.0,203.0,199.0,88.0,70.0,84.0,,,NE,1.0,NE,2.0,NE,2.0,1.0,1.0,1.0,9,,
50,19170219.0,617.0,604.0,595.0,249.0,290.0,257.0,295.0,224.0,211.0,242.0,225.0,90.0,81.0,92.0,,,NE,2.0,NNE,2.0,NE,1.0,1.0,1.0,1.0,35,,
51,19170220.0,617.0,604.0,595.0,248.0,287.0,257.0,292.0,223.0,202.0,239.0,225.0,87.0,82.0,92.0,,,NE,1.0,NE,2.0,NE,2.0,1.0,1.0,1.0,-,,
52,19170221.0,618.0,604.0,598.0,244.0,288.0,254.0,293.0,209.0,187.0,239.0,223.0,83.0,81.0,93.0,,,NE,2.0,ENE,2.0,NE,1.0,1.0,1.0,1.0,-,,
53,19170222.0,618.0,604.0,595.0,242.0,288.0,255.0,293.0,207.0,183.0,239.0,222.0,82.0,81.0,92.0,,,ENE,2.0,NE,3.0,NE,2.0,1.0,1.0,1.0,-,,
54,19170223.0,618.0,604.0,596.0,247.0,288.0,253.0,293.0,207.0,183.0,239.0,212.0,80.0,81.0,88.0,,,NE,1.0,NNE,2.0,NNE,2.0,1.0,1.0,1.0,-,,
55,19170224.0,618.0,606.0,595.0,238.0,284.0,255.0,294.0,203.0,186.0,223.0,222.0,85.0,77.0,92.0,,,NE,2.0,NE,1.0,ENE,1.0,1.0,1.0,1.0,2,,
56,19170225.0,618.0,607.0,596.0,233.0,250.0,253.0,290.0,203.0,190.0,228.0,220.0,90.0,97.0,92.0,,,NNE,1.0,NNE,1.0,NNE,1.0,1.0,4.0,1.0,14,,
57,19170226.0,609.0,606.0,588.0,231.0,289.0,260.0,294.0,206.0,192.0,238.0,194.0,91.0,80.0,78.0,,,NE,1.0,NE,3.0,NE,2.0,1.0,1.0,1.0,24,,
58,19170227.0,618.0,604.0,596.0,228.0,294.0,261.0,294.0,218.0,192.0,244.0,195.0,93.0,80.0,78.0,,,ENE,1.0,NNE,3.0,NNE,2.0,3.0,1.0,2.0,14,,
59,19170228.0,608.0,593.0,586.0,243.0,288.0,260.0,298.0,208.0,201.0,239.0,194.0,89.0,81.0,78.0,,,NE,1.0,N,3.0,NE,1.0,1.0,2.0,2.0,-,,
60,,761.7035714285714,760.6678571428572,759.6714285714286,23.95,27.832142857142856,25.267857142857142,29.071428571428573,20.835714285714285,19.575,22.228571428571428,20.54642857142857,88.14285714285714,80.0,86.10714285714286,,,,1.2142857142857142,,2.142857142857143,,1.6071428571428572,2.2857142857142856,2.3214285714285716,2.25,108.1,,
61,19170301.0,628.0,613.0,606.0,236.0,287.0,256.0,292.0,216.0,200.0,219.0,214.0,92.0,75.0,88.0,,,NE,1.0,NNE,2.0,NE,2.0,1.0,1.0,1.0,5,,
62,19170302.0,628.0,616.0,607.0,233.0,263.0,252.0,293.0,213.0,192.0,221.0,196.0,91.0,87.0,82.0,,,NE,1.0,NE,3.0,NE,2.0,2.0,2.0,1.0,17,,
63,19170303.0,617.0,606.0,595.0,250.0,288.0,252.0,293.0,215.0,206.0,239.0,212.0,87.0,81.0,89.0,,,ENE,2.0,ENE,2.0,NE,1.0,1.0,1.0,1.0,30,,
64,19170304.0,618.0,606.0,595.0,235.0,287.0,255.0,292.0,205.0,191.0,219.0,215.0,89.0,75.0,89.0,,,NE,1.0,NE,3.0,NE,1.0,2.0,1.0,1.0,11,,
65,19170305.0,617.0,609.0,598.0,246.0,227.0,229.0,287.0,216.0,203.0,194.0,194.0,88.0,95.0,95.0,,,NE,1.0,NE,1.0,N,1.0,4.0,6.0,6.0,18,,
66,19170306.0,618.0,608.0,597.0,235.0,243.0,236.0,263.0,220.0,201.0,214.0,205.0,93.0,95.0,95.0,,,ENE,2.0,NNE,2.0,NE,1.0,4.0,6.0,6.0,669,,
67,19170307.0,617.0,607.0,596.0,240.0,264.0,253.0,274.0,225.0,206.0,227.0,216.0,93.0,89.0,90.0,,,E,1.0,NE,2.0,NE,2.0,3.0,2.0,4.0,84,,
68,19170308.0,618.0,607.0,596.0,228.0,255.0,255.0,270.0,223.0,197.0,224.0,224.0,95.0,93.0,93.0,,,NE,1.0,NE,1.0,ENE,1.0,6.0,4.0,6.0,480,,
69,19170309.0,608.0,593.0,584.0,252.0,304.0,262.0,304.0,227.0,211.0,235.0,222.0,88.0,73.0,88.0,,,ENE,2.0,ESE,3.0,NE,2.0,3.0,1.0,1.0,115,,
70,19170310.0,617.0,604.0,595.0,257.0,288.0,257.0,313.0,232.0,215.0,239.0,215.0,88.0,81.0,88.0,,,NNE,1.0,NE,2.0,NNE,2.0,2.0,2.0,1.0,1,,
71,19170311.0,617.0,604.0,595.0,258.0,281.0,258.0,291.0,233.0,215.0,225.0,215.0,87.0,79.0,87.0,,,NE,2.0,N,2.0,NNE,2.0,3.0,2.0,1.0,-,,
72,19170312.0,608.0,593.0,586.0,258.0,283.0,258.0,293.0,228.0,215.0,225.0,215.0,87.0,78.0,87.0,,,NNE,1.0,NNE,3.0,NE,2.0,1.0,2.0,2.0,70,,
73,19170313.0,618.0,604.0,595.0,233.0,288.0,256.0,288.0,223.0,201.0,239.0,216.0,95.0,81.0,89.0,,,NE,1.0,ENE,1.0,NE,2.0,3.0,2.0,1.0,236,,
74,19170314.0,617.0,604.0,596.0,264.0,288.0,260.0,293.0,234.0,207.0,239.0,225.0,81.0,81.0,90.0,,,NE,1.0,NNE,2.0,ENE,2.0,1.0,2.0,1.0,25,,
75,19170315.0,626.0,613.0,606.0,256.0,277.0,258.0,292.0,236.0,226.0,231.0,225.0,93.0,84.0,91.0,,,NE,2.0,NE,2.0,NNE,2.0,2.0,2.0,2.0,-,,
76,19170316.0,628.0,613.0,606.0,246.0,276.0,258.0,281.0,226.0,209.0,226.0,211.0,91.0,82.0,85.0,,,NE,1.0,N,3.0,NE,2.0,3.0,3.0,2.0,27,,
77,19170317.0,628.0,615.0,606.0,249.0,263.0,251.0,283.0,234.0,216.0,225.0,221.0,93.0,89.0,93.0,,,NNE,1.0,NNE,2.0,NE,2.0,4.0,3.0,1.0,12,,
78,19170318.0,617.0,606.0,595.0,254.0,285.0,258.0,285.0,224.0,200.0,220.0,215.0,83.0,76.0,87.0,,,NE,1.0,NE,1.0,NE,1.0,1.0,2.0,1.0,8,,
79,19170319.0,628.0,613.0,606.0,255.0,289.0,264.0,294.0,200.0,201.0,238.0,225.0,83.0,80.0,88.0,,,NE,2.0,E,2.0,NNE,1.0,1.0,1.0,1.0,-,,
80,19170320.0,628.0,613.0,606.0,253.0,285.0,258.0,290.0,213.0,195.0,220.0,219.0,81.0,76.0,89.0,,,NE,1.0,NE,1.0,NNE,2.0,1.0,3.0,1.0,-,,
81,19170321.0,617.0,604.0,595.0,259.0,287.0,256.0,297.0,229.0,206.0,221.0,216.0,83.0,75.0,89.0,,,NNE,1.0,NNE,3.0,NNE,1.0,1.0,1.0,1.0,-,,
82,19170322.0,609.0,595.0,586.0,234.0,282.0,256.0,292.0,209.0,183.0,224.0,216.0,86.0,79.0,89.0,,,NE,1.0,NE,2.0,ESE,1.0,1.0,1.0,1.0,-,,
83,19170323.0,608.0,593.0,587.0,256.0,277.0,246.0,292.0,211.0,191.0,231.0,209.0,79.0,84.0,81.0,,,NE,1.0,NNE,3.0,NNE,1.0,1.0,4.0,1.0,-,,
84,19170324.0,608.0,593.0,586.0,262.0,290.0,261.0,295.0,227.0,208.0,231.0,223.0,82.0,78.0,89.0,,,NE,2.0,ENE,3.0,NNE,2.0,1.0,1.0,1.0,12,,
85,19170325.0,616.0,604.0,596.0,263.0,290.0,260.0,300.0,243.0,227.0,231.0,223.0,89.0,78.0,90.0,,,ENE,2.0,E,3.0,NE,2.0,3.0,2.0,1.0,3,,
86,19170326.0,628.0,613.0,606.0,262.0,271.0,247.0,296.0,242.0,222.0,227.0,212.0,88.0,81.0,92.0,,,NE,1.0,NE,1.0,NE,2.0,3.0,3.0,4.0,-,,
87,19170327.0,608.0,596.0,588.0,241.0,246.0,230.0,296.0,226.0,210.0,216.0,203.0,94.0,94.0,97.0,,,NE,1.0,NE,1.0,N,1.0,4.0,4.0,8.0,372,,
88,19170328.0,617.0,607.0,596.0,235.0,260.0,256.0,265.0,225.0,206.0,223.0,220.0,96.0,90.0,90.0,,,NNE,1.0,NE,1.0,NE,1.0,6.0,3.0,2.0,338,,
89,19170329.0,628.0,615.0,607.0,248.0,273.0,256.0,273.0,228.0,219.0,227.0,220.0,94.0,84.0,90.0,,,ESE,1.0,NE,1.0,ENE,1.0,2.0,4.0,4.0,285,,
90,19170330.0,616.0,604.0,595.0,254.0,272.0,261.0,282.0,234.0,223.0,226.0,223.0,93.0,84.0,89.0,,,ENE,2.0,ENE,2.0,NE,2.0,2.0,4.0,2.0,274,,
91,19170331.0,616.0,604.0,595.0,262.0,281.0,263.0,296.0,232.0,214.0,241.0,219.0,85.0,85.0,89.0,,,NE,3.0,NE,2.0,ENE,3.0,1.0,2.0,1.0,14,,
92,,761.8451612903226,760.5645161290322,759.6870967741936,24.883870967741935,27.580645161290324,25.412903225806453,28.887096774193548,22.416129032258063,20.696774193548386,22.63548387096774,21.561290322580646,88.61290322580645,82.64516129032258,89.29032258064517,,,,1.3548387096774193,,2.0,,1.6129032258064515,2.3548387096774195,2.4838709677419355,2.161290322580645,310.6,,
93,19170401.0,618.0,605.0,595.0,262.0,280.0,261.0,296.0,227.0,210.0,231.0,221.0,83.0,82.0,88.0,WNW,2.0,,,SW,2.0,SW,2.0,1.0,2.0,2.0,4,,
94,19170402.0,618.0,606.0,595.0,257.0,281.0,259.0,290.0,232.0,219.0,231.0,216.0,90.0,82.0,87.0,SW,2.0,,,SSW,3.0,SSW,1.0,4.0,1.0,1.0,6,,
95,19170403.0,618.0,606.0,597.0,255.0,272.0,259.0,291.0,235.0,201.0,222.0,216.0,83.0,83.0,87.0,SW,1.0,,,SSW,2.0,SW,1.0,3.0,3.0,1.0,0,,
96,19170404.0,618.0,605.0,595.0,261.0,290.0,256.0,282.0,231.0,203.0,233.0,216.0,81.0,78.0,89.0,SW,1.0,,,SW,3.0,SW,1.0,1.0,1.0,1.0,0,,
97,19170405.0,609.0,594.0,586.0,265.0,291.0,261.0,300.0,225.0,201.0,233.0,221.0,78.0,78.0,88.0,SW,3.0,,,SW,2.0,SW,1.0,1.0,1.0,1.0,0,,
98,19170406.0,610.0,595.0,586.0,250.0,283.0,260.0,296.0,200.0,191.0,233.0,221.0,81.0,81.0,89.0,SW,1.0,,,SSW,1.0,SSW,1.0,1.0,3.0,2.0,0,,
99,19170407.0,619.0,609.0,598.0,227.0,246.0,236.0,298.0,222.0,196.0,218.0,200.0,96.0,95.0,92.0,SSW,1.0,,,SSW,1.0,SW,2.0,8.0,6.0,2.0,150,,
100,19170408.0,630.0,617.0,608.0,231.0,278.0,259.0,261.0,221.0,203.0,224.0,222.0,96.0,80.0,90.0,WNW,1.0,,,SSW,1.0,SSW,2.0,8.0,2.0,1.0,65,,
101,19170409.0,618.0,605.0,595.0,268.0,295.0,262.0,293.0,231.0,226.0,239.0,222.0,86.0,78.0,88.0,SW,2.0,,,SW,3.0,SW,2.0,2.0,1.0,1.0,9,,
102,19170410.0,618.0,606.0,595.0,239.0,286.0,258.0,300.0,224.0,209.0,238.0,223.0,95.0,82.0,90.0,SW,1.0,,,SW,2.0,SSW,1.0,2.0,2.0,1.0,0,,
103,19170411.0,619.0,605.0,595.0,228.0,289.0,262.0,291.0,213.0,195.0,238.0,222.0,95.0,80.0,88.0,WSW,1.0,,,SSW,2.0,SW,2.0,3.0,2.0,1.0,34,,
104,19170412.0,618.0,605.0,595.0,260.0,293.0,265.0,299.0,225.0,215.0,242.0,230.0,86.0,80.0,89.0,SW,1.0,,,SW,3.0,SW,1.0,1.0,1.0,1.0,4,,
105,19170413.0,609.0,597.0,586.0,265.0,253.0,258.0,303.0,230.0,222.0,226.0,225.0,86.0,94.0,91.0,SW,3.0,,,SW,1.0,SSW,2.0,1.0,6.0,1.0,0,,
106,19170414.0,619.0,605.0,595.0,260.0,291.0,265.0,288.0,215.0,204.0,241.0,230.0,82.0,80.0,89.0,WSW,2.0,,,SW,2.0,SW,1.0,1.0,1.0,1.0,95,,
107,19170415.0,618.0,606.0,595.0,265.0,293.0,265.0,301.0,215.0,214.0,242.0,230.0,83.0,80.0,89.0,SW,1.0,,,S,3.0,SW,3.0,1.0,2.0,5.0,0,,
108,19170416.0,618.0,614.0,606.0,267.0,289.0,262.0,298.0,232.0,223.0,238.0,222.0,85.0,80.0,88.0,SW,1.0,,,WNW,3.0,SW,1.0,2.0,1.0,2.0,35,,
109,19170417.0,629.0,615.0,606.0,248.0,281.0,253.0,304.0,228.0,219.0,231.0,224.0,94.0,82.0,93.0,SW,1.0,,,SW,1.0,SW,1.0,4.0,4.0,1.0,14,,
110,19170418.0,618.0,606.0,595.0,253.0,291.0,265.0,296.0,213.0,206.0,241.0,230.0,86.0,80.0,89.0,SW,1.0,,,SW,3.0,SW,2.0,3.0,1.0,1.0,0,,
111,19170419.0,609.0,595.0,586.0,253.0,289.0,262.0,291.0,243.0,222.0,238.0,222.0,93.0,80.0,88.0,SW,1.0,,,SW,2.0,SW,2.0,4.0,2.0,1.0,0,,
112,19170420.0,618.0,605.0,595.0,239.0,284.0,266.0,294.0,234.0,215.0,237.0,228.0,97.0,82.0,88.0,SW,1.0,,,SW,2.0,SW,2.0,4.0,3.0,1.0,80,,
113,19170421.0,618.0,605.0,592.0,242.0,302.0,267.0,289.0,232.0,205.0,239.0,233.0,91.0,75.0,90.0,WSW,1.0,,,SW,3.0,SW,2.0,2.0,1.0,1.0,8,,
114,19170422.0,618.0,605.0,595.0,263.0,300.0,265.0,307.0,228.0,221.0,236.0,230.0,87.0,75.0,89.0,SW,1.0,,,S,2.0,SW,2.0,1.0,2.0,1.0,0,,
