,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 19,TT 8,TW 8,verschil,TT 14,TW 14,verschil.1,TT 19,TW 19,verschil.2,Max,Min,dampdruk 8,dampdruk 14,dampdruk 19,RH 8,RH 14,RH 19,DD 8,FF 8,DD 14,FF 14,DD 19,FF 19,8,14,19,Rd 8,Rd 8.1,Unnamed: 32_level_1
51,19040220.0,624.0,619.0,617.0,253.0,234.0,19.0,268.0,261.0,7.0,247.0,229.0,18.0,288.0,183.0,202.0,247.0,196.0,84.0,94.0,85.0,ESE,5.0,NE,4.0,ESE,3.0,6.0,7.0,10.0,,,
52,19040221.0,629.0,625.0,623.0,252.0,247.0,5.0,275.0,264.0,11.0,245.0,239.0,6.0,283.0,217.0,228.0,249.0,217.0,96.0,91.0,95.0,NE,5.0,NNW,5.0,NNE,4.0,6.0,9.0,10.0,,,
53,19040222.0,624.0,614.0,614.0,250.0,233.0,17.0,284.0,246.0,38.0,251.0,241.0,10.0,285.0,212.0,202.0,205.0,217.0,86.0,70.0,92.0,ENE,5.0,ESE,5.0,ESE,4.0,8.0,7.0,10.0,,,
54,19040223.0,624.0,619.0,615.0,255.0,232.0,23.0,283.0,269.0,14.0,248.0,241.0,7.0,294.0,232.0,197.0,255.0,219.0,82.0,89.0,94.0,SW,5.0,ESE,5.0,NNE,5.0,8.0,6.0,3.0,,,
55,19040224.0,619.0,615.0,614.0,254.0,229.0,25.0,290.0,261.0,29.0,245.0,237.0,8.0,290.0,237.0,192.0,233.0,213.0,80.0,78.0,93.0,ENE,6.0,NNE,5.0,NNE,4.0,9.0,4.0,5.0,,,
56,19040225.0,615.0,615.0,616.0,244.0,224.0,20.0,255.0,234.0,21.0,228.0,225.0,3.0,291.0,212.0,189.0,201.0,201.0,83.0,83.0,97.0,ESE,4.0,ENE,5.0,NNE,5.0,10.0,9.0,10.0,,,
57,19040226.0,619.0,613.0,612.0,233.0,223.0,10.0,258.0,241.0,17.0,242.0,235.0,7.0,272.0,220.0,194.0,213.0,211.0,91.0,86.0,94.0,NNE,5.0,ESE,5.0,ENE,4.0,3.0,10.0,10.0,85.0,,
58,19040227.0,618.0,604.0,613.0,250.0,231.0,19.0,287.0,266.0,21.0,245.0,233.0,12.0,279.0,233.0,198.0,246.0,205.0,84.0,84.0,90.0,ESE,5.0,E,6.0,E,5.0,2.0,3.0,10.0,157.0,,
59,19040228.0,626.0,625.0,613.0,240.0,232.0,8.0,249.0,249.0,0.0,243.0,234.0,9.0,303.0,224.0,206.0,234.0,209.0,93.0,100.0,92.0,N,6.0,ENE,6.0,ESE,5.0,4.0,6.0,9.0,,,
60,19040229.0,616.0,617.0,622.0,242.0,221.0,21.0,282.0,239.0,43.0,238.0,231.0,7.0,299.0,197.0,185.0,194.0,206.0,83.0,68.0,94.0,ESE,5.0,ENE,6.0,ENE,4.0,8.0,9.0,9.0,,,
