,Stn,Datum,Tijd,P,qP,T,qT,Tn,qTn,Tx,qTx,U,qU,Ed,qEd,Tw,qTw,D,qD,F,qF,N,qN
82,32,19400121,17.0,760,0,25.7,0,—,7,—,7,81,0,20.1,0,23.2,0,65,0,0.6,0,3,0
83,32,19400121,24.0,—,7,—,7,27,0,30.1,0,—,7,—,7,—,7,—,7,—,7,—,7
84,32,19400122,7.0,760,0,27.3,0,—,7,—,7,77,0,21.1,0,24.2,0,45,0,0.3,0,2,0
85,32,19400122,12.0,759.7,0,29.9,0,—,7,—,7,64,0,20.2,0,24.4,0,45,0,0.5,0,4,0
86,32,19400122,17.0,759.7,0,29.9,0,—,7,—,7,62,0,19.8,0,24.2,0,45,0,0.6,0,4,0
87,32,19400122,24.0,—,7,—,7,28.4,0,31.4,0,—,7,—,7,—,7,—,7,—,7,—,7
88,32,19400123,7.0,759.7,0,26.1,0,—,7,—,7,77,0,19.5,0,23,0,65,0,0.2,0,1,0
89,32,19400123,12.0,760,0,29.9,0,—,7,—,7,62,0,19.8,0,24.2,0,90,0,0.4,0,3,0
90,32,19400123,17.0,758.7,0,29.4,0,—,7,—,7,63,0,19.3,0,23.8,0,90,0,0.5,0,3,0
91,32,19400123,24.0,—,7,—,7,27.1,0,31.4,0,—,7,—,7,—,7,—,7,—,7,—,7
92,32,19400124,7.0,760.5,0,25.9,0,—,7,—,7,75,0,18.9,0,22.6,0,65,0,0.3,0,2,0
93,32,19400124,12.0,760.7,0,27.3,0,—,7,—,7,76,0,20.7,0,24,0,45,0,0.4,0,4,0
94,32,19400124,17.0,759.7,0,26.7,0,—,7,—,7,76,0,19.9,0,23.4,0,45,0,0.5,0,4,0
95,32,19400124,24.0,—,7,—,7,27.4,0,31.1,0,—,7,—,7,—,7,—,7,—,7,—,7
96,32,19400125,7.0,760.2,0,25.7,0,—,7,—,7,77,0,19,0,22.6,0,45,0,0.2,0,1,0
97,32,19400125,12.0,760,0,26.7,0,—,7,—,7,74,0,19.6,0,23.2,0,45,0,0.3,0,1,0
98,32,19400125,17.0,758.9,0,26.1,0,—,7,—,7,76,0,19.2,0,22.8,0,45,0,0.3,0,2,0
99,32,19400125,24.0,—,7,—,7,26.4,0,29.5,0,—,7,—,7,—,7,—,7,—,7,—,7
100,32,19400126,7.0,761.2,0,25.5,0,—,7,—,7,75,0,18.4,0,22.2,0,45,0,0.2,0,2,0
101,32,19400126,12.0,761.2,0,25.7,0,—,7,—,7,75,0,18.7,0,22.4,0,45,0,0.2,0,4,0
