,Stn,Datum,P,qP
331,32,19311128,764.0,0
332,32,19311129,764.0,0
333,32,19311130,763.5,0
334,32,19311201,764.0,0
335,32,19311202,765.0,0
336,32,19311203,765.5,0
337,32,19311204,765.5,0
338,32,19311205,766.0,0
339,32,19311206,766.0,0
340,32,19311207,766.5,0
341,32,19311208,767.5,0
342,32,19311209,767.0,0
343,32,19311210,766.0,0
344,32,19311211,764.5,0
345,32,19311212,764.0,0
346,32,19311213,766.0,0
347,32,19311214,766.5,0
348,32,19311215,765.0,0
349,32,19311216,765.0,0
350,32,19311217,766.0,0
351,32,19311218,768.0,0
352,32,19311219,766.0,0
353,32,19311220,767.0,0
354,32,19311221,767.0,0
355,32,19311222,766.5,0
356,32,19311223,767.0,0
357,32,19311224,766.5,0
358,32,19311225,766.0,0
359,32,19311226,766.0,0
360,32,19311227,765.0,0
361,32,19311228,765.5,0
362,32,19311229,764.5,0
363,32,19311230,765.0,0
364,32,19311231,765.5,0
