,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),droge (TT) en natte (TW) bol temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 19,TT 8,TW 8,verschil,TT 14,TW 14,verschil.1,TT 19,TW 19,verschil.2,Max,Min,dampdruk 8,dampdruk 14,dampdruk 19,RH 8,RH 14,RH 19,DD 8,FF 8,DD 14,FF 14,DD 19,FF 19,8,14,19,Rd 8,Rd 8.1,Unnamed: 32_level_1
37,19030206.0,644.0,633.0,635.0,259.0,247.0,12.0,293.0,266.0,27.0,260.0,249.0,11.0,286.0,250.0,224.0,242.0,227.0,90.0,80.0,91.0,SE,6.0,ENE,6.0,NE,4.0,9.0,8.0,9.0,,,
38,19030207.0,646.0,636.0,639.0,236.0,230.0,6.0,295.0,267.0,28.0,251.0,243.0,8.0,300.0,222.0,205.0,243.0,221.0,95.0,79.0,93.0,SW,2.0,ENE,6.0,NE,5.0,9.0,7.0,8.0,,,
39,19030208.0,644.0,635.0,637.0,239.0,231.0,8.0,288.0,264.0,24.0,247.0,235.0,12.0,295.0,214.0,205.0,241.0,208.0,93.0,82.0,90.0,ENE,3.0,NE,7.0,NNE,4.0,8.0,7.0,5.0,,,
40,19030209.0,648.0,638.0,634.0,233.0,216.0,17.0,282.0,262.0,20.0,244.0,234.0,10.0,291.0,200.0,181.0,240.0,208.0,86.0,85.0,92.0,NNE,4.0,NE,6.0,ENE,5.0,4.0,8.0,7.0,,,
41,19030210.0,642.0,635.0,630.0,238.0,225.0,13.0,274.0,245.0,29.0,252.0,235.0,17.0,286.0,208.0,197.0,211.0,205.0,91.0,78.0,86.0,NE,5.0,NNE,6.0,NE,3.0,6.0,9.0,10.0,,,
42,19030211.0,634.0,619.0,619.0,230.0,226.0,4.0,286.0,252.0,34.0,246.0,238.0,8.0,282.0,226.0,201.0,217.0,214.0,96.0,75.0,93.0,E,3.0,NE,8.0,ENE,6.0,10.0,9.0,8.0,117.0,,
43,19030212.0,634.0,622.0,622.0,252.0,245.0,7.0,287.0,255.0,32.0,255.0,247.0,8.0,289.0,230.0,224.0,223.0,226.0,94.0,76.0,93.0,NE,4.0,N,6.0,NNE,6.0,10.0,8.0,10.0,18.0,,
44,19030213.0,637.0,628.0,623.0,264.0,253.0,11.0,288.0,255.0,33.0,248.0,237.0,11.0,287.0,245.0,233.0,222.0,211.0,91.0,75.0,91.0,NE,5.0,NNE,7.0,NE,4.0,9.0,8.0,10.0,33.0,,
45,19030214.0,633.0,627.0,626.0,260.0,250.0,10.0,295.0,265.0,30.0,257.0,245.0,12.0,292.0,236.0,229.0,239.0,221.0,92.0,78.0,90.0,NE,6.0,NE,7.0,ENE,4.0,7.0,8.0,0.0,63.0,,
46,19030215.0,634.0,625.0,629.0,247.0,237.0,10.0,296.0,267.0,29.0,254.0,240.0,14.0,300.0,226.0,212.0,242.0,213.0,92.0,79.0,89.0,SE,3.0,NNE,7.0,NE,3.0,3.0,8.0,0.0,7.0,,
47,19030216.0,633.0,625.0,630.0,253.0,241.0,12.0,294.0,265.0,29.0,252.0,235.0,17.0,301.0,224.0,216.0,239.0,205.0,90.0,79.0,86.0,NE,5.0,NE,6.0,N,4.0,8.0,8.0,10.0,,,
48,19030217.0,639.0,626.0,629.0,252.0,243.0,9.0,292.0,266.0,26.0,254.0,244.0,10.0,294.0,238.0,220.0,243.0,221.0,93.0,81.0,92.0,ENE,3.0,NE,8.0,N,5.0,9.0,7.0,10.0,67.0,,
49,19030218.0,644.0,630.0,630.0,259.0,251.0,8.0,295.0,266.0,29.0,260.0,250.0,10.0,293.0,239.0,232.0,241.0,229.0,93.0,79.0,92.0,NNE,6.0,NE,7.0,NNE,6.0,9.0,8.0,0.0,63.0,,
50,19030219.0,640.0,627.0,627.0,248.0,240.0,8.0,291.0,264.0,27.0,254.0,244.0,10.0,298.0,234.0,217.0,239.0,221.0,93.0,80.0,92.0,ESE,4.0,ENE,8.0,NE,5.0,9.0,9.0,0.0,17.0,,
51,19030220.0,644.0,629.0,632.0,231.0,224.0,7.0,299.0,267.0,32.0,257.0,245.0,12.0,291.0,204.0,197.0,240.0,221.0,94.0,77.0,90.0,SE,4.0,N,7.0,ESE,4.0,8.0,7.0,0.0,,,
52,19030221.0,645.0,637.0,645.0,249.0,234.0,15.0,301.0,268.0,33.0,255.0,243.0,12.0,301.0,215.0,205.0,241.0,218.0,88.0,76.0,90.0,E,5.0,ESE,6.0,NE,5.0,7.0,8.0,0.0,,,
53,19030222.0,655.0,648.0,655.0,219.0,213.0,6.0,297.0,265.0,32.0,245.0,235.0,10.0,315.0,193.0,184.0,237.0,209.0,95.0,77.0,92.0,SW,3.0,NE,6.0,ENE,4.0,10.0,8.0,0.0,1.0,,
54,19030223.0,659.0,645.0,651.0,231.0,223.0,8.0,302.0,269.0,33.0,257.0,242.0,15.0,300.0,188.0,195.0,243.0,215.0,93.0,76.0,88.0,SE,3.0,NNE,5.0,E,4.0,5.0,7.0,0.0,,,
55,19030224.0,647.0,634.0,635.0,228.0,218.0,10.0,296.0,264.0,32.0,249.0,237.0,12.0,303.0,184.0,188.0,236.0,211.0,91.0,77.0,90.0,NE,4.0,ENE,6.0,NE,3.0,0.0,6.0,0.0,,,
56,19030225.0,641.0,626.0,624.0,224.0,215.0,9.0,291.0,262.0,29.0,251.0,241.0,10.0,300.0,193.0,185.0,235.0,217.0,92.0,78.0,92.0,WNW,2.0,NNE,7.0,NW,3.0,8.0,9.0,10.0,,,
57,19030226.0,636.0,634.0,631.0,244.0,229.0,15.0,268.0,254.0,14.0,262.0,248.0,14.0,292.0,204.0,198.0,232.0,224.0,88.0,89.0,89.0,NE,4.0,SE,6.0,NE,6.0,3.0,10.0,8.0,,,
58,19030227.0,643.0,630.0,632.0,229.0,226.0,3.0,279.0,259.0,20.0,228.0,224.0,4.0,291.0,226.0,202.0,236.0,199.0,97.0,84.0,96.0,E,4.0,ENE,7.0,NE,5.0,10.0,10.0,10.0,110.0,,
59,19030228.0,639.0,622.0,620.0,249.0,244.0,5.0,288.0,264.0,24.0,256.0,246.0,10.0,293.0,229.0,224.0,241.0,224.0,96.0,82.0,92.0,NNE,2.0,NE,8.0,NNE,6.0,8.0,9.0,10.0,171.0,,
60,19030301.0,628.0,610.0,614.0,259.0,247.0,12.0,288.0,261.0,27.0,252.0,242.0,10.0,289.0,227.0,224.0,235.0,218.0,90.0,80.0,92.0,E,6.0,N,6.0,NE,5.0,7.0,8.0,0.0,53.0,,
61,,763.95,762.8133333333333,762.93,24.259999999999998,23.366666666666667,0.8933333333333333,,26.089999999999996,2.6433333333333335,,24.009999999999998,1.0533333333333332,29.153333333333336,21.953333333333333,20.846666666666668,23.496666666666666,21.553333333333335,92.53333333333333,80.36666666666666,91.33333333333333,,4.0,,6.533333333333333,,4.6,7.666666666666667,8.333333333333334,5.8,151.9,,
62,19030302.0,621.0,617.0,618.0,239.0,230.0,9.0,286.0,262.0,24.0,250.0,243.0,7.0,294.0,213.0,204.0,238.0,222.0,92.0,82.0,94.0,ESE,2.0,NNE,7.0,NE,4.0,8.0,9.0,0.0,,,
63,19030303.0,616.0,617.0,616.0,234.0,228.0,6.0,290.0,265.0,25.0,255.0,244.0,11.0,288.0,217.0,203.0,242.0,220.0,95.0,81.0,91.0,E,5.0,NE,6.0,ENE,5.0,10.0,9.0,10.0,44.0,,
64,19030304.0,623.0,612.0,605.0,243.0,239.0,4.0,256.0,244.0,12.0,254.0,242.0,12.0,296.0,232.0,218.0,220.0,217.0,97.0,90.0,90.0,NE,5.0,ENE,6.0,NE,6.0,9.0,10.0,9.0,68.0,,
