,Stn,Datum,Tijd,P,qP
385,73,19430509,12.0,763,0
386,73,19430509,16.0,763,0
387,73,19430510,8.0,763,0
388,73,19430510,12.0,764,0
389,73,19430510,16.0,762,0
390,73,19430511,8.0,763,0
391,73,19430511,12.0,763,0
392,73,19430511,16.0,762,0
393,73,19430512,8.0,763,0
394,73,19430512,12.0,762,0
395,73,19430512,16.0,762,0
396,73,19430513,8.0,763,0
397,73,19430513,12.0,762,0
398,73,19430513,16.0,762,0
399,73,19430514,8.0,762,0
400,73,19430514,12.0,762,0
401,73,19430514,16.0,761,0
402,73,19430515,8.0,761,0
403,73,19430515,12.0,760,0
404,73,19430515,16.0,760,0
405,73,19430516,8.0,760,0
406,73,19430516,12.0,760,0
407,73,19430516,16.0,760,0
408,73,19430517,8.0,762,0
409,73,19430517,12.0,762,0
410,73,19430517,16.0,762,0
411,73,19430518,8.0,764,0
412,73,19430518,12.0,763,0
413,73,19430518,16.0,763,0
414,73,19430519,8.0,763,0
415,73,19430519,12.0,763,0
416,73,19430519,16.0,762,0
417,73,19430520,8.0,764,0
418,73,19430520,12.0,763,0
419,73,19430520,16.0,762,0
420,73,19430521,8.0,764,0
421,73,19430521,12.0,763,0
422,73,19430521,16.0,762,0
423,73,19430522,8.0,764,0
424,73,19430522,12.0,763,0
425,73,19430522,16.0,763,0
426,73,19430523,8.0,763,0
427,73,19430523,12.0,762,0
428,73,19430523,16.0,762,0
429,73,19430524,8.0,764,0
430,73,19430524,12.0,763,0
431,73,19430524,16.0,763,0
432,73,19430525,8.0,764,0
433,73,19430525,12.0,763,0
434,73,19430525,16.0,763,0
435,73,19430526,8.0,765,0
436,73,19430526,12.0,765,0
437,73,19430526,16.0,764,0
438,73,19430527,8.0,765,0
439,73,19430527,12.0,765,0
440,73,19430527,16.0,764,0
441,73,19430528,8.0,765,0
442,73,19430528,12.0,764,0
443,73,19430528,16.0,762,0
444,73,19430529,8.0,763,0
445,73,19430529,12.0,763,0
446,73,19430529,16.0,762,0
447,73,19430530,8.0,763,0
448,73,19430530,12.0,763,0
449,73,19430530,16.0,763,0
450,73,19430531,8.0,764,0
451,73,19430531,12.0,764,0
452,73,19430531,16.0,763,0
453,73,19430601,8.0,764,0
454,73,19430601,12.0,763,0
455,73,19430601,16.0,763,0
456,73,19430602,8.0,763,0
457,73,19430602,12.0,763,0
458,73,19430602,16.0,762,0
459,73,19430603,8.0,763,0
460,73,19430603,12.0,763,0
461,73,19430603,16.0,762,0
462,73,19430604,8.0,763,0
463,73,19430604,12.0,763,0
464,73,19430604,16.0,762,0
465,73,19430605,8.0,763,0
466,73,19430605,12.0,762,0
467,73,19430605,16.0,761,0
468,73,19430606,8.0,762,0
469,73,19430606,12.0,762,0
470,73,19430606,16.0,761,0
471,73,19430607,8.0,763,0
472,73,19430607,12.0,764,0
473,73,19430607,16.0,763,0
474,73,19430608,8.0,764,0
475,73,19430608,12.0,764,0
476,73,19430608,16.0,763,0
477,73,19430609,8.0,763,0
478,73,19430609,12.0,763,0
479,73,19430609,16.0,763,0
480,73,19430610,8.0,762,0
481,73,19430610,12.0,762,0
482,73,19430610,16.0,762,0
483,73,19430611,8.0,763,0
484,73,19430611,12.0,762,0
485,73,19430611,16.0,762,0
486,73,19430612,8.0,763,0
487,73,19430612,12.0,762,0
488,73,19430612,16.0,762,0
489,73,19430613,8.0,763,0
490,73,19430613,12.0,762,0
491,73,19430613,16.0,763,0
492,73,19430614,8.0,763,0
493,73,19430614,12.0,762,0
494,73,19430614,16.0,760,0
495,73,19430615,8.0,761,0
496,73,19430615,12.0,761,0
497,73,19430615,16.0,760,0
498,73,19430616,8.0,761,0
499,73,19430616,12.0,761,0
500,73,19430616,16.0,761,0
501,73,19430617,8.0,763,0
502,73,19430617,12.0,762,0
503,73,19430617,16.0,762,0
504,73,19430618,8.0,763,0
505,73,19430618,12.0,763,0
506,73,19430618,16.0,762,0
507,73,19430619,8.0,764,0
508,73,19430619,12.0,764,0
509,73,19430619,16.0,764,0
510,73,19430620,8.0,765,0
511,73,19430620,12.0,764,0
512,73,19430620,16.0,764,0
513,73,19430621,8.0,764,0
514,73,19430621,12.0,763,0
515,73,19430621,16.0,762,0
516,73,19430622,8.0,762,0
517,73,19430622,12.0,763,0
518,73,19430622,16.0,762,0
519,73,19430623,8.0,762,0
520,73,19430623,12.0,763,0
521,73,19430623,16.0,762,0
522,73,19430624,8.0,764,0
523,73,19430624,12.0,764,0
524,73,19430624,16.0,764,0
525,73,19430625,8.0,765,0
526,73,19430625,12.0,765,0
527,73,19430625,16.0,764,0
528,73,19430626,8.0,764,0
529,73,19430626,12.0,765,0
530,73,19430626,16.0,763,0
531,73,19430627,8.0,763,0
532,73,19430627,12.0,763,0
533,73,19430627,16.0,762,0
534,73,19430628,8.0,764,0
535,73,19430628,12.0,764,0
536,73,19430628,16.0,763,0
537,73,19430629,8.0,764,0
538,73,19430629,12.0,764,0
539,73,19430629,16.0,764,0
540,73,19430630,8.0,764,0
541,73,19430630,12.0,764,0
542,73,19430630,16.0,763,0
543,73,19430701,8.0,764,0
544,73,19430701,12.0,764,0
545,73,19430701,16.0,763,0
546,73,19430702,8.0,765,0
547,73,19430702,12.0,765,0
548,73,19430702,16.0,764,0
549,73,19430703,8.0,763,0
550,73,19430703,12.0,763,0
551,73,19430703,16.0,762,0
552,73,19430704,8.0,762,0
553,73,19430704,12.0,762,0
554,73,19430704,16.0,761,0
555,73,19430705,8.0,762,0
556,73,19430705,12.0,762,0
557,73,19430705,16.0,761,0
558,73,19430706,8.0,763,0
559,73,19430706,12.0,763,0
560,73,19430706,16.0,763,0
561,73,19430707,8.0,764,0
